event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,64,64,2543363,2569655,2543361,0,1000,0,0,2
2,59,123,4090673,4101121,2794744,0,1000,0,0,1
3,65,172,676960,677015,2941575,1,1002,6,16,3
4,51,223,7322307,7328020,4192352,1,1010,0,0,1
5,74,293,2674582,2676156,3624643,1,1011,3,4,-1
6,52,337,2596984,2598230,3720889,12,1012,3,8,7
7,0,325,9881103,9890818,4514701,3,1013,4,12,0
8,51,376,4898856,4903904,4458524,32,1015,1,0,0
9,82,454,2516991,2520489,4008348,0,1018,2,4,0
10,51,505,7473270,7479200,4396471,0,1023,0,0,2
11,57,558,1548854,1553556,4012560,6,1024,2,4,14
12,56,610,1047706,1054633,3405507,1,1028,2,4,9
13,50,656,6441450,6446976,3784721,18,1028,2,4,18
14,66,722,3405428,3415042,3605544,0,1029,0,0,7
15,67,785,1398753,1404497,3262295,0,1031,2,4,13
16,53,838,2019454,2026366,2917057,0,1035,0,0,12
17,87,925,2008029,2009776,2638512,8,1032,7,0,10
18,50,975,5070289,5085767,2734782,13,1035,1,0,14
19,73,1044,485684,488062,2212161,0,1037,2,4,16
20,66,1110,3648667,3657549,2222918,0,1038,0,0,11
21,82,1184,1401308,1402424,2226674,12,1042,3,8,5
22,105,1285,135623,137542,1377405,39,1045,2,4,11
23,78,1351,2898719,2898975,1609921,18,1044,4,12,34
24,52,1403,2832902,2855281,1584138,18,1047,0,0,3
25,83,1478,4028119,4030062,1707830,2,1042,4,8,0
26,48,1526,3893179,3898627,1611941,26,1045,1,0,12
27,104,1622,285018,285498,1326108,21,1044,3,8,19
28,45,1663,2911647,2916556,1375692,3,1045,2,4,0
29,102,1761,1907215,1910588,1375830,46,1046,2,4,1
30,55,1812,5923945,5928863,1466328,7,1045,2,4,4
31,50,1862,7254410,7264494,1580610,7,1046,0,0,3
32,64,1918,1220354,1220767,1552934,19,1047,4,8,0
33,71,1989,1732745,1743731,1397414,19,1045,0,0,3
34,105,2086,1579535,1580195,1377522,20,1046,4,8,6
35,40,2126,4765275,4785839,1362047,20,1043,0,0,1
36,125,2239,193722,193758,1092525,0,1040,5,12,23
37,73,2296,978887,979115,1138633,1,1042,5,16,15
38,39,2327,5970599,5972028,1259158,3,1040,3,8,6
