,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,335,72,124,55,877337,38,2023-05-26T02:38:35.961369Z
1,7,68,300,73,877337,38,2023-05-26T02:38:35.960644Z
2,13,80,333,94,877337,38,2023-05-26T02:38:35.950042Z
3,332,52,10,48,877337,37,2023-05-15T22:43:47.049519Z
4,341,43,358,45,877337,37,2023-05-15T22:43:47.049045Z
5,300,73,19,66,877337,37,2023-05-15T22:43:47.048527Z
6,28,81,427,114,877337,37,2023-05-15T22:43:47.045246Z
7,333,94,335,71,877337,37,2023-05-15T22:43:47.042093Z
8,169,55,305,72,877337,36,2023-05-08T19:19:13.034895Z
9,358,45,39,46,877337,36,2023-05-08T19:19:13.034436Z
10,102,40,254,38,877337,36,2023-05-08T19:19:13.033916Z
11,356,71,40,75,877337,36,2023-05-08T19:19:13.033474Z
12,427,114,80,74,877337,36,2023-05-08T19:19:13.025760Z
13,335,71,169,55,877337,34,2023-04-27T23:57:13.439917Z
14,586,48,526,51,877337,34,2023-04-27T23:57:13.439106Z
15,305,72,13,83,877337,34,2023-04-27T23:57:13.430775Z
16,302,55,139,58,877337,34,2023-04-26T20:47:54.303847Z
17,283,128,261,81,877337,32,2023-04-17T19:45:05.084294Z
18,39,45,586,48,877337,32,2023-04-15T16:14:22.808301Z
19,40,76,427,117,877337,32,2023-04-15T16:09:15.083395Z
20,169,54,335,69,877337,32,2023-04-15T15:29:04.569901Z
21,427,117,145,76,877337,30,2023-04-03T22:05:05.951071Z
22,10,47,26,49,877337,30,2023-04-02T16:04:32.204999Z
23,145,76,427,116,877337,29,2023-03-19T15:22:35.358801Z
24,19,66,7,69,877337,29,2023-03-19T15:17:10.740189Z
25,261,81,116,54,877337,28,2023-03-16T18:40:45.302789Z
26,139,59,284,68,877337,28,2023-03-16T15:52:06.385661Z
27,526,51,332,51,877337,27,2023-03-06T22:21:18.165013Z
28,586,48,199,43,877337,27,2023-03-06T22:21:18.164596Z
29,116,54,480,54,877337,27,2023-03-06T22:21:18.158906Z
30,124,53,680,77,877337,26,2023-03-03T15:09:26.217756Z
31,480,54,369,54,877337,25,2023-02-18T19:51:37.903804Z
32,199,43,358,45,877337,25,2023-02-18T19:09:50.851248Z
33,680,77,303,77,877337,25,2023-02-18T16:59:02.431584Z
34,284,68,610,50,877337,25,2023-02-18T16:59:02.424527Z
35,7,70,107,51,877337,23,2023-02-08T22:09:00.714739Z
36,13,83,433,55,877337,23,2023-02-08T22:09:00.714107Z
37,610,50,302,54,877337,23,2023-02-08T22:09:00.713314Z
38,303,77,333,99,877337,23,2023-02-08T22:09:00.709016Z
39,81,47,327,49,877337,22,2023-02-01T22:06:38.935616Z
40,333,99,301,124,877337,22,2023-02-01T22:06:38.929108Z
41,358,45,448,55,877337,21,2023-01-20T20:10:31.788304Z
42,107,50,169,56,877337,21,2023-01-14T23:04:31.534073Z
43,80,74,210,70,877337,21,2023-01-14T23:04:31.529488Z
44,169,56,142,75,877337,20,2023-01-09T21:07:15.812834Z
45,448,55,366,49,877337,20,2023-01-09T21:07:15.812590Z
46,302,54,16,52,877337,20,2023-01-09T21:07:15.812281Z
47,327,49,398,47,877337,20,2023-01-09T21:07:15.812037Z
48,433,55,346,45,877337,20,2023-01-09T21:07:15.811790Z
49,332,51,112,52,877337,20,2023-01-09T21:07:15.811468Z
50,112,52,526,46,877337,19,2022-12-30T21:06:21.138121Z
51,142,75,19,68,877337,19,2022-12-30T21:06:21.132712Z
52,210,69,80,74,877337,18,2022-12-28T22:23:04.209896Z
53,335,67,160,75,877337,17,2022-12-13T16:15:28.328219Z
54,160,75,111,70,877337,17,2022-11-13T19:12:31.502725Z
55,526,46,295,40,877337,17,2022-11-12T15:18:24.272022Z
56,19,68,13,79,877337,17,2022-11-12T15:18:24.268121Z
57,398,47,81,46,877337,17,2022-11-12T13:49:15.050026Z
58,16,52,306,73,877337,17,2022-11-12T13:49:15.049506Z
59,80,74,166,54,877337,17,2022-11-12T13:49:15.043619Z
60,166,54,80,72,877337,15,2022-10-31T14:11:28.278577Z
61,111,69,3,51,877337,15,2022-10-31T14:11:28.270414Z
62,3,51,111,68,877337,14,2022-10-23T21:22:53.564885Z
63,13,79,19,68,877337,14,2022-10-23T21:22:53.564608Z
64,366,49,39,43,877337,14,2022-10-23T21:22:53.564047Z
65,81,46,398,47,877337,14,2022-10-23T17:43:36.705773Z
66,39,43,366,48,877337,14,2022-10-23T17:43:36.705305Z
67,19,68,3,51,877337,14,2022-10-23T17:43:36.704852Z
68,111,68,13,79,877337,14,2022-10-23T17:43:36.704319Z
69,3,51,19,65,877337,14,2022-10-23T16:49:44.518191Z
70,301,123,314,84,877337,14,2022-10-23T16:49:44.517692Z
71,398,47,113,46,877337,14,2022-10-23T16:49:44.517207Z
72,427,115,279,81,877337,14,2022-10-23T16:49:44.516738Z
73,369,53,160,74,877337,14,2022-10-23T16:49:44.516199Z
74,13,79,283,127,877337,14,2022-10-23T16:49:44.515728Z
75,306,73,109,46,877337,14,2022-10-23T16:49:44.515216Z
76,314,84,111,68,877337,13,2022-10-21T12:24:26.986793Z
77,279,81,427,114,877337,13,2022-10-21T12:24:26.983028Z
78,283,127,304,99,877337,12,2022-10-17T16:56:54.064190Z
79,366,48,306,71,877337,12,2022-10-17T16:56:54.059963Z
80,111,68,311,70,877337,11,2022-10-14T12:52:40.103342Z
81,357,56,146,60,877337,11,2022-10-14T03:43:06.171634Z
82,39,43,146,60,877337,10,2022-10-06T18:36:59.751559Z
83,268,43,342,45,877337,10,2022-10-06T18:36:59.751324Z
84,335,65,346,45,877337,10,2022-10-06T18:36:59.751027Z
85,54,43,237,43,877337,10,2022-10-04T21:29:10.315358Z
86,314,81,304,100,877337,10,2022-10-04T21:25:10.187484Z
87,357,55,26,48,877337,10,2022-10-04T21:25:10.187257Z
88,128,54,109,45,877337,10,2022-10-04T21:25:10.187016Z
89,301,124,311,70,877337,10,2022-10-04T21:25:10.186752Z
90,342,45,306,71,877337,10,2022-10-04T21:25:10.186521Z
91,366,47,295,40,877337,10,2022-10-04T21:25:10.186288Z
92,31,49,113,46,877337,10,2022-10-04T21:25:10.186049Z
93,617,90,427,114,877337,10,2022-10-04T21:25:10.185779Z
94,261,81,19,64,877337,10,2022-10-04T21:25:10.185535Z
95,237,43,80,72,877337,10,2022-10-04T21:25:10.185230Z
96,146,60,285,74,877337,9,2022-09-22T19:16:34.944783Z
97,427,114,210,68,877337,9,2022-09-22T19:16:34.941138Z
98,304,100,283,129,877337,8,2022-09-14T19:32:44.437766Z
99,254,40,426,40,877337,7,2022-09-05T19:02:11.581490Z
100,285,75,108,45,877337,7,2022-09-05T12:36:17.999536Z
101,311,70,83,46,877337,7,2022-09-05T12:36:17.999060Z
102,160,72,428,117,877337,7,2022-09-05T12:36:17.995536Z
103,108,45,146,60,877337,6,2022-08-31T16:41:02.440605Z
104,346,45,225,63,877337,6,2022-08-31T16:41:02.440126Z
105,210,67,237,45,877337,6,2022-08-31T16:41:02.436190Z
106,318,117,28,81,877337,5,2022-08-27T21:19:26.589827Z
107,109,45,313,52,877337,5,2022-08-27T21:19:26.589313Z
108,26,46,285,75,877337,5,2022-08-27T21:19:26.585383Z
109,83,46,365,45,877337,3,2022-08-18T19:50:51.570803Z
110,295,40,39,44,877337,3,2022-08-18T19:50:51.570311Z
111,313,52,10,45,877337,3,2022-08-18T19:50:51.565308Z
112,80,71,166,55,877337,3,2022-08-17T02:39:28.266868Z
113,19,63,407,65,877337,3,2022-08-17T02:39:28.266381Z
114,225,61,13,80,877337,3,2022-08-17T02:39:28.262668Z
