event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,75,75,633353,633680,633353,0,1000,0,0,3
2,73,148,1183795,1184402,296930,0,1002,0,0,10
3,45,193,5886745,5887220,671536,0,1006,1,0,9
4,75,268,1948321,1948768,437908,16,1010,1,0,4
5,81,349,1180090,1180512,306721,9,1013,1,0,7
6,48,397,3687800,3688112,267219,7,1017,1,0,5
7,0,397,6582907,6591731,265909,6,1015,1,0,0
8,56,449,3495837,3496033,375610,6,1016,3,4,1
9,91,540,898947,899546,221958,2,1013,0,0,1
10,64,604,3772803,3773034,288109,2,1016,0,0,2
11,46,650,5363166,5363397,327977,4,1018,2,0,9
12,62,708,339465,339622,192589,33,1019,2,4,0
13,46,754,7677953,7678874,337941,19,1024,1,0,17
14,56,810,6519411,6519915,512169,11,1029,1,0,3
15,64,874,1989135,1989411,410736,10,1026,1,0,7
16,35,909,8242518,8242923,625223,11,1024,1,0,4
17,89,998,1660360,1660426,564781,2,1018,16,0,14
18,59,1057,1754028,1754626,496029,2,1021,0,0,8
19,53,1110,4146703,4147073,557311,15,1021,1,0,17
20,79,1189,935347,935732,429307,9,1021,2,0,18
21,82,1271,1193889,1194422,370987,9,1023,0,0,3
22,87,1358,781388,782021,294030,33,1022,2,0,8
23,65,1423,6229379,6229587,428086,16,1022,1,0,31
24,72,1495,141908,141964,256625,4,1025,1,0,7
25,82,1569,4230070,4230352,346845,6,1021,3,8,2
26,45,1614,4470272,4471057,360085,23,1018,0,0,16
27,106,1720,114093,114807,226253,23,1023,0,0,15
28,52,1772,1719196,1719954,219730,36,1021,2,0,0
29,127,1891,393336,393442,199659,6,1024,3,8,0
30,41,1932,9775756,9775899,285294,6,1024,0,0,6
31,58,1990,4807641,4807782,308850,0,1021,2,0,0
32,63,2053,1227813,1228702,289494,0,1018,0,0,18
33,65,2118,3283723,3283942,270330,47,1017,1,0,18
34,124,2242,285061,285135,197537,0,1016,1,0,8
35,27,2269,10187917,10188103,238811,0,1015,0,0,11
36,122,2391,241129,241198,154419,3,1016,1,0,7
37,81,2472,249320,249517,118625,12,1020,1,0,6
38,53,2521,2263373,2263524,115395,6,1013,3,4,12
