,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,16,52,332,52,25886,38,2023-05-28T13:55:24.833956Z
1,7,69,124,55,25886,38,2023-05-28T13:55:24.825230Z
2,427,115,318,123,25886,38,2023-05-28T13:02:43.164388Z
3,319,60,594,69,25886,37,2023-05-19T00:29:02.977814Z
4,356,71,40,74,25886,36,2023-05-12T12:51:13.986167Z
5,283,130,13,83,25886,34,2023-04-28T17:54:31.675203Z
6,594,68,427,115,25886,33,2023-04-24T19:47:36.122018Z
7,427,116,66,55,25886,32,2023-04-21T15:59:25.238115Z
8,346,43,169,56,25886,32,2023-04-21T15:59:25.237920Z
9,733,48,357,62,25886,32,2023-04-21T15:59:25.237724Z
10,489,38,180,42,25886,32,2023-04-21T15:59:25.237460Z
11,28,82,427,116,25886,32,2023-04-21T15:57:08.140877Z
12,169,56,7,67,25886,32,2023-04-21T15:57:08.140616Z
13,357,62,733,48,25886,32,2023-04-21T15:57:08.140318Z
14,180,42,167,44,25886,32,2023-04-21T03:00:14.462473Z
15,733,48,284,68,25886,32,2023-04-21T03:00:14.461977Z
16,680,77,169,55,25886,32,2023-04-21T03:00:14.461463Z
17,548,38,182,44,25886,32,2023-04-20T23:09:20.257588Z
18,284,68,357,62,25886,32,2023-04-20T23:09:20.253271Z
19,182,44,2,46,25886,32,2023-04-20T22:59:00.184924Z
20,169,55,346,43,25886,32,2023-04-20T22:59:00.184590Z
21,357,62,284,68,25886,32,2023-04-20T22:59:00.184170Z
22,167,44,357,57,25886,32,2023-04-20T22:54:36.313584Z
23,284,68,39,46,25886,32,2023-04-20T22:54:36.313245Z
24,39,46,180,42,25886,32,2023-04-20T22:40:40.931751Z
25,175,44,747,40,25886,32,2023-04-20T22:40:40.931515Z
26,13,86,465,80,25886,32,2023-04-20T22:40:40.931306Z
27,66,55,28,82,25886,32,2023-04-20T22:40:40.931054Z
28,7,67,13,84,25886,32,2023-04-20T01:54:04.925789Z
29,2,46,102,39,25886,32,2023-04-20T01:54:04.925577Z
30,747,40,81,48,25886,32,2023-04-20T01:54:04.925374Z
31,295,38,586,47,25886,32,2023-04-20T01:54:04.925180Z
32,285,74,332,51,25886,32,2023-04-20T01:54:04.924985Z
33,180,42,313,51,25886,32,2023-04-20T01:54:04.924772Z
34,694,45,526,50,25886,32,2023-04-20T01:54:04.924548Z
35,28,82,318,122,25886,32,2023-04-20T01:54:04.924347Z
36,465,80,335,69,25886,32,2023-04-20T01:54:04.924149Z
37,19,69,124,55,25886,32,2023-04-20T01:54:04.923938Z
38,283,128,333,95,25886,32,2023-04-20T01:54:04.923638Z
39,318,122,80,77,25886,31,2023-04-10T11:46:59.787688Z
40,346,43,261,82,25886,31,2023-04-10T11:46:59.779887Z
41,332,52,445,49,25886,29,2023-03-31T17:09:12.333944Z
42,333,96,7,68,25886,29,2023-03-31T17:09:12.333248Z
43,102,39,254,40,25886,29,2023-03-31T17:09:12.325059Z
44,261,82,107,51,25886,28,2023-03-17T14:15:45.186090Z
45,40,74,318,118,25886,28,2023-03-17T14:15:45.177870Z
46,124,53,283,127,25886,26,2023-03-02T17:29:44.940850Z
47,427,117,297,87,25886,26,2023-03-02T17:29:44.940403Z
48,80,76,11,67,25886,26,2023-03-02T17:29:44.939944Z
49,7,70,346,44,25886,26,2023-03-02T17:29:44.939554Z
50,107,51,305,68,25886,26,2023-03-02T17:29:44.939319Z
51,313,51,332,50,25886,26,2023-03-02T17:29:44.939073Z
52,445,49,308,50,25886,26,2023-03-02T17:29:44.938778Z
53,586,47,199,43,25886,26,2023-03-02T17:29:44.938520Z
54,526,50,10,47,25886,26,2023-03-02T17:29:44.938097Z
55,81,48,133,46,25886,26,2023-03-02T17:29:44.937546Z
56,283,127,333,98,25886,25,2023-02-24T13:28:19.308978Z
57,297,87,427,117,25886,25,2023-02-24T13:28:19.303814Z
58,199,43,377,44,25886,25,2023-02-23T23:58:29.892123Z
59,305,68,369,56,25886,24,2023-02-17T18:45:05.396026Z
60,13,83,19,66,25886,23,2023-02-11T00:14:34.592093Z
61,11,67,345,65,25886,22,2023-02-02T23:44:36.161265Z
