event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,80,80,250499,252398,250499,5,1000,0,0,8
2,83,163,300392,300999,20960,5,1003,0,0,4
3,45,208,5886745,5889638,104414,10,1012,1,0,9
4,74,282,2126680,2128529,106416,10,1015,1,0,3
5,92,374,134932,135490,19963,15,1016,1,0,3
6,37,411,7916011,7919334,73446,5,1019,1,0,4
7,0,411,6582907,6638256,73205,5,1019,1,0,0
8,74,481,390375,390638,24634,15,1020,3,4,0
9,89,570,1148351,1150100,18944,19,1021,0,0,9
10,72,642,1607759,1610311,18681,16,1028,1,0,10
11,52,694,2710359,2712153,15419,16,1032,0,0,13
12,52,742,1893287,1894607,17897,34,1033,3,4,9
13,46,788,7677953,7681416,48836,20,1036,1,0,24
14,75,863,1484287,1485569,28656,11,1041,1,0,10
15,57,920,4116869,4119658,35783,5,1039,1,0,15
16,48,968,3608707,3612154,37895,4,1039,1,0,8
17,89,1057,1621014,1621786,38222,27,1032,9,0,11
18,61,1118,1279092,1281214,28357,27,1034,0,0,8
19,53,1171,4146703,4148981,43908,35,1034,1,0,12
20,70,1241,2643455,2645391,51449,8,1034,1,0,19
21,82,1323,1362087,1363174,43916,23,1036,2,0,4
22,95,1418,386108,386707,27308,12,1037,1,0,6
23,75,1493,3428887,3430679,33926,12,1036,0,0,19
24,52,1545,3054495,3057418,39118,14,1038,1,0,15
25,83,1624,4009483,4010779,54818,15,1034,3,4,2
26,60,1684,1704052,1704833,34363,6,1035,1,0,13
27,77,1761,2939189,2940046,59961,0,1034,1,0,20
28,65,1826,310533,311592,37574,59,1028,0,0,0
29,139,1965,113944,114465,18882,54,1032,1,0,0
30,57,2022,5109572,5113707,20544,0,1031,1,0,4
31,70,2092,1436110,1438019,16730,11,1032,1,0,2
32,62,2154,1388255,1392704,18806,11,1029,0,0,16
33,72,2226,1547214,1548971,14108,11,1026,0,0,6
34,123,2345,332798,333304,10231,5,1027,3,4,10
35,33,2378,8085730,8089454,12274,5,1026,0,0,5
36,99,2477,1018056,1018984,13800,9,1026,1,0,2
37,76,2549,618017,618770,12805,2,1029,3,4,21
38,62,2607,898649,899753,9703,7,1025,2,4,6
