,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,169,57,124,55,178641,38,2023-05-28T13:58:12.297115Z
1,427,115,318,122,178641,38,2023-05-28T13:43:29.766528Z
2,303,74,305,71,178641,37,2023-05-19T22:43:15.007214Z
3,319,60,594,70,178641,37,2023-05-19T00:31:16.443144Z
4,333,95,13,81,178641,37,2023-05-19T00:31:16.438904Z
5,594,70,40,74,178641,36,2023-05-12T23:41:36.276950Z
6,237,40,427,115,178641,34,2023-04-28T17:57:45.199463Z
7,285,75,139,58,178641,34,2023-04-28T17:57:45.198970Z
8,283,130,7,66,178641,34,2023-04-28T17:57:45.192883Z
9,280,66,284,68,178641,32,2023-04-20T16:33:24.832186Z
10,284,68,357,57,178641,32,2023-04-20T11:53:06.686581Z
11,548,38,31,50,178641,32,2023-04-19T18:07:34.679380Z
12,175,44,81,49,178641,32,2023-04-18T15:08:54.413252Z
13,465,80,13,85,178641,32,2023-04-16T19:41:17.165989Z
14,28,81,66,55,178641,32,2023-04-16T19:41:17.165699Z
15,346,43,124,55,178641,32,2023-04-16T18:55:22.337553Z
16,10,49,586,48,178641,32,2023-04-16T03:22:01.910912Z
17,694,44,332,51,178641,32,2023-04-16T03:16:19.492685Z
18,31,50,102,39,178641,32,2023-04-16T03:16:19.492352Z
19,81,49,133,46,178641,32,2023-04-16T03:15:32.783043Z
20,283,128,335,69,178641,32,2023-04-16T03:14:05.174398Z
21,169,55,305,71,178641,32,2023-04-16T03:14:05.174166Z
22,66,55,318,121,178641,32,2023-04-16T03:14:05.173922Z
23,285,73,139,59,178641,32,2023-04-16T03:14:05.173625Z
24,19,68,7,67,178641,32,2023-04-16T03:14:05.173331Z
25,305,71,261,82,178641,31,2023-04-14T08:38:45.319760Z
26,318,120,594,66,178641,30,2023-04-07T18:48:49.108925Z
27,332,52,10,47,178641,29,2023-04-01T02:02:13.445629Z
28,377,45,358,45,178641,28,2023-03-17T17:09:01.609846Z
29,358,45,377,45,178641,28,2023-03-17T17:07:35.198346Z
30,40,74,619,49,178641,28,2023-03-17T16:52:59.238644Z
31,102,39,254,40,178641,28,2023-03-17T16:52:59.238454Z
32,594,66,318,118,178641,28,2023-03-17T16:52:59.238264Z
33,261,82,283,127,178641,28,2023-03-17T16:52:59.238070Z
34,586,48,332,50,178641,28,2023-03-17T16:52:59.237861Z
35,139,59,199,43,178641,28,2023-03-17T16:52:59.237658Z
36,377,45,85,45,178641,28,2023-03-17T16:52:59.237409Z
37,85,45,558,39,178641,27,2023-03-09T06:32:56.723619Z
38,124,53,346,44,178641,26,2023-03-03T06:46:36.573441Z
39,619,51,80,76,178641,25,2023-02-23T00:01:50.187327Z
40,13,84,19,62,178641,25,2023-02-23T00:01:50.186964Z
41,283,126,301,124,178641,25,2023-02-23T00:01:50.180174Z
42,199,43,358,45,178641,24,2023-02-18T03:22:49.187085Z
43,7,69,369,58,178641,22,2023-02-03T00:04:46.779430Z
44,80,75,345,66,178641,21,2023-01-20T01:07:56.065167Z
45,10,47,306,71,178641,21,2023-01-20T01:07:56.061056Z
46,427,116,297,89,178641,20,2023-01-13T00:42:16.180397Z
47,332,49,146,57,178641,19,2023-01-01T22:11:12.240249Z
48,345,67,356,73,178641,17,2022-12-26T01:33:24.327759Z
49,297,90,28,80,178641,17,2022-12-26T01:33:24.326996Z
50,558,39,295,40,178641,17,2022-12-26T01:33:24.326170Z
51,358,45,165,45,178641,17,2022-12-26T01:33:24.325330Z
52,146,58,26,52,178641,17,2022-12-26T01:33:24.324600Z
53,369,58,160,73,178641,17,2022-12-26T01:33:24.324077Z
54,133,45,81,45,178641,17,2022-12-26T01:33:24.323426Z
55,335,67,314,83,178641,17,2022-12-26T01:33:24.322474Z
56,301,126,283,127,178641,17,2022-12-26T01:33:24.313740Z
57,28,80,191,79,178641,16,2022-11-12T05:02:59.157552Z
58,191,79,80,73,178641,15,2022-11-04T21:16:42.767099Z
59,26,52,167,43,178641,14,2022-10-29T03:56:26.484098Z
60,314,83,111,69,178641,13,2022-10-20T21:16:03.825119Z
61,111,69,261,80,178641,12,2022-10-18T16:08:10.635683Z
62,283,127,428,117,178641,12,2022-10-18T00:47:12.010507Z
63,167,43,146,60,178641,12,2022-10-17T22:47:31.064144Z
64,356,72,210,69,178641,10,2022-10-07T00:15:19.609541Z
65,165,45,26,47,178641,9,2022-09-30T01:57:10.177040Z
66,261,79,293,81,178641,9,2022-09-28T23:21:45.759488Z
67,80,72,594,70,178641,9,2022-09-27T01:12:29.092556Z
68,295,41,299,50,178641,9,2022-09-21T22:05:48.798183Z
69,160,72,116,55,178641,9,2022-09-18T16:36:36.177554Z
70,594,70,28,80,178641,9,2022-09-17T19:17:54.875487Z
71,428,117,283,129,178641,8,2022-09-16T04:35:15.791753Z
72,210,69,496,45,178641,8,2022-09-16T02:08:37.620355Z
73,357,53,285,75,178641,8,2022-09-16T02:08:00.090283Z
74,116,55,246,55,178641,7,2022-09-05T01:18:40.748728Z
75,246,55,83,45,178641,6,2022-09-03T01:13:51.610624Z
76,26,46,313,51,178641,5,2022-08-28T21:26:25.010869Z
77,254,40,548,40,178641,4,2022-08-25T23:16:27.748003Z
78,83,45,45,50,178641,3,2022-08-13T22:14:00.364610Z
