event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,69,69,1531076,1533815,1531075,0,1000,0,0,3
2,63,132,3161986,3162887,1580498,0,1002,0,0,10
3,43,175,6669187,6670749,2480198,8,1006,2,0,13
4,60,235,5351864,5352472,2909335,25,1010,1,0,3
5,70,305,3397483,3397843,2661467,3,1010,0,0,1
6,38,339,7647465,7648258,3537031,0,1016,2,4,3
7,0,339,6582907,6604227,3497203,0,1016,1,0,0
8,71,394,620887,620890,3250534,14,1017,5,16,1
9,89,483,1148351,1149113,2352065,14,1021,0,0,6
10,72,555,1670258,1670994,1862615,0,1023,2,0,0
11,48,603,4418430,4420113,1777094,17,1024,1,0,9
12,46,649,3437097,3437620,1652236,15,1028,1,0,0
13,52,701,5594193,5595886,1810150,47,1031,1,0,15
14,50,751,8093335,8094147,2383167,11,1039,1,0,8
15,67,818,1353946,1354507,1955844,2,1040,1,0,7
16,54,872,1915168,1916048,1651918,0,1040,1,0,2
17,92,964,1144115,1144120,1367088,1,1032,53,0,12
18,67,1031,416317,416511,1031676,1,1035,0,0,5
19,42,1073,7784114,7784578,1367454,14,1035,1,0,12
20,78,1151,1069165,1070135,1128752,12,1035,2,0,17
21,87,1238,438491,439047,894653,12,1038,0,0,2
22,83,1321,1033051,1033367,735934,38,1037,1,0,2
23,64,1385,6528364,6528708,961867,24,1037,2,0,4
24,57,1442,1699858,1700616,882311,12,1038,1,0,4
25,85,1527,3393214,3393503,854850,12,1035,0,0,4
26,33,1560,8170651,8171525,1030731,12,1034,0,0,11
27,101,1661,419190,419365,775329,21,1033,2,0,16
28,39,1692,4062631,4062709,971323,36,1028,3,8,0
29,140,1832,96655,96883,585619,37,1029,1,0,0
30,58,1890,4732806,4734757,583402,5,1028,1,0,5
31,74,1964,761626,761803,480195,5,1030,0,0,2
32,61,2021,1704263,1704423,486237,2,1028,3,4,2
33,68,2089,2364839,2365894,435252,0,1015,0,0,6
34,123,2212,308447,308720,331877,0,1023,0,0,15
35,38,2250,6040628,6041770,329480,18,1024,1,0,0
36,128,2378,126029,126235,198475,8,1029,2,0,9
37,71,2449,1193461,1194084,186454,6,1033,1,0,19
38,49,2494,3095355,3095961,191471,20,1035,2,4,3
