,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,427,115,318,123,65614,38,2023-05-28T13:57:04.552431Z
1,7,68,303,74,65614,38,2023-05-27T00:59:11.422130Z
2,303,74,305,72,65614,37,2023-05-20T03:37:55.847956Z
3,358,45,295,38,65614,36,2023-05-10T17:46:51.587474Z
4,116,55,107,52,65614,36,2023-05-10T17:46:51.579838Z
5,356,70,288,88,65614,35,2023-05-05T13:21:49.040282Z
6,594,68,427,115,65614,33,2023-04-24T15:22:24.182122Z
7,288,88,80,76,65614,33,2023-04-24T15:22:24.181746Z
8,318,122,40,75,65614,33,2023-04-24T15:22:24.181393Z
9,335,71,169,55,65614,33,2023-04-24T15:22:24.181040Z
10,305,72,19,68,65614,33,2023-04-24T15:22:24.180684Z
11,107,52,7,65,65614,33,2023-04-24T15:22:24.180324Z
12,295,38,526,51,65614,33,2023-04-24T15:22:24.179971Z
13,302,55,377,44,65614,33,2023-04-24T15:22:24.179590Z
14,332,51,357,56,65614,33,2023-04-24T15:22:24.179228Z
15,586,48,146,58,65614,33,2023-04-24T15:22:24.178906Z
16,327,50,102,39,65614,33,2023-04-24T15:22:24.178677Z
17,548,38,15,49,65614,33,2023-04-24T15:22:24.178383Z
18,169,55,335,69,65614,32,2023-04-18T23:12:59.052805Z
19,285,73,139,59,65614,32,2023-04-18T23:12:59.052352Z
20,15,49,133,46,65614,32,2023-04-18T23:12:59.046712Z
21,283,128,333,96,65614,30,2023-04-06T14:04:05.573105Z
22,102,39,254,40,65614,29,2023-03-31T23:25:06.868960Z
23,146,58,26,49,65614,28,2023-03-17T14:49:41.361763Z
24,40,74,318,118,65614,28,2023-03-16T14:29:14.869283Z
25,139,59,573,39,65614,28,2023-03-16T14:19:01.085851Z
26,526,51,558,39,65614,27,2023-03-09T22:03:40.135565Z
27,124,55,303,76,65614,27,2023-03-09T22:03:40.128058Z
28,303,78,480,54,65614,25,2023-02-24T17:10:57.613694Z
29,480,54,704,55,65614,25,2023-02-24T17:03:04.082597Z
30,484,44,558,39,65614,25,2023-02-24T16:42:22.743660Z
31,704,55,680,78,65614,25,2023-02-24T16:41:04.677346Z
32,285,73,312,59,65614,25,2023-02-24T16:41:04.677040Z
33,680,78,186,54,65614,25,2023-02-24T16:29:09.266312Z
34,475,49,285,73,65614,25,2023-02-24T16:29:09.265969Z
35,297,87,237,41,65614,25,2023-02-24T16:24:17.597879Z
36,346,44,465,80,65614,25,2023-02-24T16:24:17.597649Z
37,312,59,284,68,65614,25,2023-02-24T16:24:17.597347Z
38,237,41,297,87,65614,25,2023-02-24T16:20:47.215651Z
39,284,68,484,44,65614,25,2023-02-24T16:20:47.215341Z
40,297,87,237,41,65614,25,2023-02-24T16:06:25.777770Z
41,558,39,284,68,65614,25,2023-02-24T16:06:25.777446Z
42,186,54,303,77,65614,25,2023-02-24T16:00:17.972904Z
43,484,44,558,39,65614,25,2023-02-24T16:00:17.972583Z
44,237,41,427,117,65614,25,2023-02-24T13:55:23.189193Z
45,11,68,80,76,65614,25,2023-02-24T13:55:23.188731Z
46,465,80,335,70,65614,25,2023-02-24T13:55:23.188266Z
47,283,127,333,98,65614,25,2023-02-24T13:55:23.187811Z
48,13,84,19,65,65614,25,2023-02-24T13:55:23.187351Z
49,555,38,573,39,65614,25,2023-02-24T13:55:23.186847Z
50,285,73,377,44,65614,25,2023-02-24T13:55:23.186376Z
51,199,44,357,55,65614,25,2023-02-24T13:55:23.185920Z
52,284,68,26,49,65614,25,2023-02-24T13:55:23.185494Z
53,548,38,254,40,65614,25,2023-02-24T13:55:23.185087Z
54,478,50,133,46,65614,25,2023-02-24T13:55:23.184642Z
55,80,76,345,64,65614,24,2023-02-17T09:04:41.698549Z
56,573,39,429,46,65614,23,2023-02-09T22:13:28.304975Z
57,303,77,369,56,65614,23,2023-02-09T22:13:28.300054Z
58,333,99,301,125,65614,22,2023-02-02T21:16:42.215313Z
59,427,116,297,89,65614,20,2023-01-04T21:44:14.549985Z
60,429,46,306,71,65614,20,2023-01-04T21:44:14.544022Z
61,377,44,146,57,65614,19,2023-01-01T22:58:13.453061Z
62,345,67,237,42,65614,17,2022-12-26T04:36:01.737557Z
63,297,90,427,116,65614,17,2022-12-26T04:36:01.732385Z
64,237,42,345,67,65614,17,2022-12-26T01:17:40.260085Z
65,427,116,297,90,65614,17,2022-12-26T01:17:40.254740Z
66,345,67,427,116,65614,17,2022-12-25T21:43:03.705863Z
67,297,90,237,42,65614,17,2022-12-25T21:43:03.705385Z
68,7,64,446,80,65614,17,2022-12-25T21:43:03.704919Z
69,335,67,346,46,65614,17,2022-12-25T21:43:03.704317Z
70,558,39,197,40,65614,17,2022-12-25T21:43:03.697950Z
71,197,40,558,39,65614,17,2022-12-25T02:52:10.621353Z
72,427,116,345,67,65614,17,2022-12-24T05:43:19.704541Z
73,446,80,283,128,65614,17,2022-12-24T05:43:19.699176Z
74,237,42,297,90,65614,17,2022-12-24T05:23:49.271115Z
75,283,128,446,80,65614,17,2022-12-24T05:23:49.266055Z
76,446,80,335,67,65614,17,2022-12-23T17:23:39.896489Z
77,346,46,225,63,65614,17,2022-12-23T17:23:39.891943Z
78,335,67,446,80,65614,17,2022-12-22T19:53:03.710928Z
79,225,63,346,46,65614,17,2022-12-22T19:53:03.705485Z
80,345,67,11,65,65614,17,2022-12-22T14:09:32.187563Z
81,558,39,429,46,65614,17,2022-12-22T14:09:32.179892Z
82,11,65,345,67,65614,17,2022-12-21T19:31:24.817186Z
83,429,46,558,39,65614,17,2022-12-21T19:31:24.811924Z
84,446,80,314,83,65614,17,2022-12-21T15:08:45.423839Z
85,301,126,283,128,65614,17,2022-12-21T15:08:45.414327Z
86,345,67,80,74,65614,17,2022-12-20T15:54:08.205952Z
87,146,58,377,44,65614,17,2022-12-20T15:54:08.205418Z
88,283,128,301,126,65614,17,2022-12-20T15:54:08.204977Z
89,314,83,7,64,65614,17,2022-12-20T15:54:08.204241Z
90,297,90,427,115,65614,17,2022-12-20T15:54:08.198405Z
91,301,126,283,128,65614,17,2022-12-16T02:26:46.033344Z
92,346,46,240,44,65614,17,2022-12-16T02:25:57.244220Z
93,240,44,346,46,65614,17,2022-12-15T04:17:18.998171Z
94,80,74,345,67,65614,17,2022-12-14T15:29:00.738923Z
95,7,64,240,44,65614,17,2022-12-14T15:27:27.212639Z
96,345,67,297,90,65614,17,2022-12-14T15:27:27.206473Z
97,133,45,81,46,65614,17,2022-12-13T21:46:01.394473Z
98,297,90,210,68,65614,17,2022-12-12T18:32:21.707229Z
99,377,44,332,48,65614,17,2022-12-12T18:32:21.706777Z
100,81,46,376,53,65614,17,2022-12-12T18:32:21.700096Z
101,558,39,146,58,65614,17,2022-12-12T16:12:59.231308Z
102,240,44,13,79,65614,17,2022-12-12T16:12:59.230807Z
103,332,48,342,48,65614,17,2022-12-12T16:12:59.230219Z
104,283,128,314,81,65614,17,2022-12-12T16:12:59.225922Z
105,146,58,295,40,65614,17,2022-12-08T17:34:01.560193Z
106,210,68,80,74,65614,17,2022-12-04T00:47:07.328904Z
107,346,46,335,67,65614,17,2022-12-04T00:47:07.324078Z
108,335,67,160,74,65614,17,2022-11-15T16:15:54.646582Z
109,80,74,345,67,65614,17,2022-11-15T16:15:54.642363Z
110,342,48,106,46,65614,17,2022-11-14T15:27:16.999242Z
111,376,53,281,54,65614,17,2022-11-14T15:26:40.090006Z
112,295,40,167,43,65614,17,2022-11-13T16:40:44.603623Z
113,345,67,210,67,65614,17,2022-11-13T16:40:44.603121Z
114,254,41,548,39,65614,17,2022-11-13T16:40:44.599353Z
115,281,54,376,52,65614,16,2022-11-12T05:51:25.558376Z
116,369,55,45,46,65614,15,2022-10-29T17:53:20.719743Z
117,13,79,365,43,65614,14,2022-10-23T23:20:09.111686Z
118,19,67,304,99,65614,13,2022-10-19T23:09:35.996111Z
119,106,46,272,44,65614,12,2022-10-17T20:57:04.780483Z
120,167,43,146,60,65614,11,2022-10-14T16:42:06.066188Z
121,160,73,19,63,65614,10,2022-10-06T00:17:57.984118Z
122,146,60,448,56,65614,10,2022-10-06T00:17:57.980139Z
123,427,114,28,80,65614,8,2022-09-16T03:45:36.454467Z
124,45,47,335,66,65614,8,2022-09-16T03:45:36.454053Z
125,448,56,285,75,65614,8,2022-09-16T03:45:36.450894Z
126,376,51,113,46,65614,8,2022-09-13T14:29:32.511574Z
127,335,66,293,81,65614,8,2022-09-11T14:04:36.759528Z
128,357,51,112,51,65614,7,2022-09-03T16:02:00.013159Z
129,210,67,219,45,65614,6,2022-08-30T23:41:03.945636Z
130,365,44,225,63,65614,6,2022-08-30T23:41:03.942127Z
131,272,44,586,45,65614,5,2022-08-30T16:59:30.795509Z
132,219,45,80,72,65614,5,2022-08-30T14:50:40.925112Z
133,314,80,346,45,65614,5,2022-08-30T14:50:40.924842Z
134,112,51,146,61,65614,5,2022-08-30T14:50:40.924547Z
135,586,45,272,44,65614,5,2022-08-30T13:52:14.576727Z
136,80,72,219,45,65614,5,2022-08-30T03:15:44.861138Z
137,346,45,314,80,65614,5,2022-08-30T03:15:44.860900Z
138,146,61,112,50,65614,5,2022-08-30T03:15:44.860600Z
139,219,45,54,45,65614,5,2022-08-30T02:46:15.962885Z
140,113,46,81,45,65614,5,2022-08-28T23:07:12.766758Z
141,293,81,346,45,65614,5,2022-08-28T19:26:55.921960Z
142,304,99,283,130,65614,5,2022-08-28T19:26:55.921500Z
143,314,80,45,48,65614,5,2022-08-28T19:26:55.921163Z
144,272,44,313,52,65614,5,2022-08-28T19:26:55.920926Z
145,26,46,146,60,65614,5,2022-08-28T19:26:55.920662Z
