event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,52,52,5184214,5194525,5184209,0,1000,0,0,7
2,64,116,2935637,2942525,3826890,0,997,0,0,0
3,56,172,2119018,2122614,2815431,0,998,0,0,0
4,51,223,7322307,7325413,4100791,0,995,0,0,2
5,64,287,4981045,4983305,4019119,5,994,2,0,1
6,39,326,7177163,7185621,4444303,17,993,1,0,2
7,0,326,1,242916,4391219,17,991,0,0,0
8,73,399,443289,444228,2865808,13,990,2,0,0
9,50,449,8619971,8621431,4241763,13,988,0,0,3
10,58,507,5541767,5545700,4260043,13,987,0,0,14
11,65,572,421413,422605,3256969,19,988,1,0,7
12,64,636,215575,216492,2165233,3,989,2,0,7
13,34,670,9761055,9762634,3116505,3,990,0,0,12
14,38,708,9911458,9912650,4162357,3,991,0,0,5
15,49,757,6765984,6769458,4357323,1,989,0,0,14
16,42,799,5766837,5775191,4410793,0,991,1,0,16
17,88,887,1791587,1792544,3982158,0,989,6,0,5
18,47,934,5961480,5968960,4112508,0,992,0,0,0
19,59,993,2384135,2389045,3843700,0,994,0,0,7
20,67,1060,3559009,3564264,3721992,16,994,2,0,2
21,80,1140,1780909,1787610,3474629,21,996,1,0,2
22,76,1216,1671177,1672979,2949731,21,996,0,0,2
23,87,1303,1096604,1100431,2661043,13,995,2,0,8
24,56,1359,1784753,1793483,2498100,13,997,0,0,3
25,82,1441,4042666,4046247,2443263,13,995,0,0,0
26,53,1494,2781483,2784154,2218849,9,994,1,0,7
27,69,1563,4376935,4378632,2339930,7,992,1,0,12
28,59,1622,752644,756681,2020899,7,993,0,0,6
29,93,1715,3115481,3118730,2032884,7,992,0,0,7
30,61,1776,3427405,3433453,1979757,7,992,0,0,3
31,41,1817,9792319,9793112,2229349,6,988,2,0,4
32,63,1880,1308297,1311161,2071781,23,987,1,0,0
33,61,1941,4162670,4170575,2041718,0,984,0,0,9
34,116,2057,622423,624260,1715475,0,987,0,0,21
35,47,2104,2381931,2384961,1614223,8,987,1,0,2
36,78,2182,2802059,2804304,1673865,4,991,1,0,1
37,69,2251,1523373,1526767,1577645,12,990,1,0,11
38,48,2291,3366653,3367127,1618570,8,987,4,8,0
