,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,337,41,558,38,489260,38,2023-05-28T13:59:27.249649Z
1,264,66,346,43,489260,38,2023-05-28T13:59:27.241949Z
2,573,38,332,52,489260,38,2023-05-28T13:56:16.755299Z
3,427,115,318,123,489260,38,2023-05-28T13:56:16.748284Z
4,319,61,458,69,489260,37,2023-05-20T04:09:18.416863Z
5,116,56,107,52,489260,36,2023-05-13T03:56:27.702506Z
6,558,38,109,46,489260,35,2023-05-06T07:02:25.191085Z
7,107,52,19,68,489260,33,2023-04-25T05:24:28.811897Z
8,548,38,254,39,489260,33,2023-04-25T05:24:28.811653Z
9,458,70,427,115,489260,33,2023-04-25T05:24:28.811447Z
10,303,73,13,82,489260,33,2023-04-25T05:24:28.811225Z
11,335,71,369,54,489260,33,2023-04-25T05:24:28.811019Z
12,66,56,596,46,489260,33,2023-04-25T05:24:28.810807Z
13,332,51,139,58,489260,33,2023-04-25T05:24:28.810550Z
14,283,130,169,56,489260,33,2023-04-25T05:24:28.810260Z
15,169,56,303,73,489260,32,2023-04-21T04:32:27.277257Z
16,369,54,335,69,489260,31,2023-04-15T04:15:43.019280Z
17,280,65,332,49,489260,31,2023-04-15T04:15:43.008517Z
18,43,46,109,46,489260,28,2023-03-17T04:25:06.799733Z
19,526,51,106,47,489260,28,2023-03-17T04:23:11.206251Z
20,40,74,318,121,489260,28,2023-03-17T04:23:11.205942Z
21,133,47,281,54,489260,28,2023-03-17T04:23:11.205683Z
22,428,116,303,74,489260,28,2023-03-17T04:23:11.205440Z
23,261,82,335,70,489260,28,2023-03-17T04:23:11.205195Z
24,16,52,332,49,489260,28,2023-03-17T04:23:11.204879Z
25,254,40,324,38,489260,27,2023-03-11T08:57:47.656311Z
26,596,46,54,42,489260,26,2023-03-04T02:56:41.391715Z
27,303,77,369,57,489260,23,2023-02-10T04:29:44.888424Z
28,139,58,306,70,489260,23,2023-02-10T04:29:44.883096Z
29,357,60,280,65,489260,21,2023-01-21T02:44:40.306457Z
30,13,81,283,128,489260,20,2023-01-13T04:08:25.128086Z
31,318,122,255,91,489260,20,2023-01-13T04:08:25.121727Z
32,255,91,318,121,489260,17,2022-12-26T04:09:22.599710Z
33,335,67,111,70,489260,17,2022-12-26T04:09:22.598911Z
34,369,58,264,69,489260,17,2022-12-26T04:09:22.598254Z
35,324,38,254,41,489260,17,2022-12-26T04:09:22.597776Z
36,281,55,307,54,489260,17,2022-12-26T04:09:22.597249Z
37,283,128,261,82,489260,17,2022-12-26T04:09:22.588194Z
38,19,68,335,67,489260,16,2022-11-12T08:02:18.251685Z
39,111,70,160,75,489260,15,2022-11-05T05:37:31.125978Z
40,254,41,281,54,489260,15,2022-11-05T05:37:31.125753Z
41,261,82,37,51,489260,15,2022-11-05T05:37:31.125524Z
42,335,67,283,127,489260,15,2022-11-05T05:37:31.125302Z
43,318,121,28,80,489260,15,2022-11-05T05:37:31.125049Z
44,332,47,141,47,489260,15,2022-11-05T05:37:31.124799Z
45,106,47,85,45,489260,15,2022-11-05T05:37:31.124557Z
46,307,54,147,48,489260,15,2022-11-05T05:37:31.124258Z
47,160,75,311,69,489260,12,2022-10-18T03:16:45.731732Z
48,283,127,428,117,489260,12,2022-10-18T03:16:45.727284Z
49,147,49,307,55,489260,11,2022-10-14T15:13:57.842448Z
50,307,55,548,39,489260,8,2022-09-16T05:03:17.266159Z
51,428,117,283,129,489260,8,2022-09-16T04:52:50.050974Z
52,109,46,139,58,489260,6,2022-09-03T04:10:30.645845Z
53,346,45,134,49,489260,5,2022-08-30T03:30:58.554309Z
54,264,69,160,70,489260,5,2022-08-30T03:23:50.728151Z
