event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,71,71,1227564,1283912,1227564,0,1000,0,0,4
2,45,116,6841170,6858530,3826890,0,1001,0,0,12
3,45,161,5744548,5777695,4220782,0,1000,0,0,17
4,70,231,2983620,2996552,3299910,5,1002,2,0,1
5,79,306,1599973,1617548,2601620,1,1004,2,4,7
6,49,355,3360770,3388549,2375977,6,1007,1,0,13
7,0,355,6582907,7269198,2349230,1,1006,1,0,0
8,38,393,8612431,8618153,3294822,15,1007,1,0,0
9,63,456,6877659,6897236,3866248,15,1007,0,0,0
10,74,530,1077634,1097706,3084614,15,1005,0,0,9
11,49,579,4009588,4043461,2905470,24,1005,1,0,20
12,47,626,2980037,3018004,2615673,24,1006,0,0,0
13,58,684,3111959,3153584,2490089,1,1003,0,0,19
14,79,763,883922,897468,1884514,5,1010,1,0,17
15,47,810,7394233,7420982,2231325,5,1013,0,0,14
16,54,864,1796770,1819148,1903601,5,1015,0,0,0
17,84,948,2522081,2537075,1828000,5,1016,0,0,4
18,42,990,7644763,7681472,2203262,5,1017,0,0,8
19,43,1033,7214365,7257992,2535452,5,1016,0,0,1
20,51,1084,7769982,7796874,2983456,5,1014,0,0,7
21,82,1166,1362087,1377021,2717104,6,1012,2,0,11
22,48,1214,4857092,4872307,2993653,6,1011,0,0,7
23,80,1294,2240205,2265861,2861733,6,1008,0,0,6
24,69,1351,284387,284449,2669973,3,1009,5,12,8
25,92,1439,2185867,2195406,2483749,36,1004,2,4,9
26,46,1485,4210460,4247421,2400759,36,1006,0,0,11
27,48,1533,8255537,8276891,2905977,36,1008,0,0,30
28,35,1568,4710662,4741874,2968733,36,1008,0,0,0
29,70,1638,7458085,7481296,3280741,36,1005,0,0,16
30,47,1685,8345087,8385104,3455925,36,1005,0,0,6
31,53,1738,6229469,6270486,3498843,36,1004,0,0,1
32,58,1796,2080462,2110199,3351522,36,1001,0,0,0
33,59,1855,4723594,4767305,3357185,36,1001,0,0,5
34,107,1962,1290102,1301653,3029271,36,999,0,0,2
35,47,2009,2160881,2203141,2916938,36,997,0,0,1
36,97,2098,1156716,1157200,2715532,3,996,4,8,0
37,53,2151,5460229,5500446,2774362,3,996,0,0,16
38,39,2190,5908788,5925227,2822022,6,999,1,0,1
