,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,526,48,313,51,2707386,38,2023-05-25T23:05:26.251687Z
1,95,57,690,71,2707386,36,2023-05-07T23:23:44.147145Z
2,83,41,369,53,2707386,36,2023-05-07T23:23:44.146738Z
3,125,46,80,74,2707386,36,2023-05-07T23:23:44.146149Z
4,283,131,346,44,2707386,36,2023-05-07T23:23:44.141872Z
5,586,47,26,52,2707386,25,2023-02-19T21:13:20.692472Z
6,7,70,333,98,2707386,25,2023-02-19T21:13:20.686095Z
7,281,54,425,55,2707386,24,2023-02-12T16:44:55.337524Z
8,313,51,284,67,2707386,24,2023-02-12T16:44:55.337078Z
9,690,75,145,77,2707386,24,2023-02-12T16:44:55.336601Z
10,333,99,314,80,2707386,24,2023-02-12T16:44:55.336117Z
11,285,73,306,70,2707386,24,2023-02-12T16:44:55.329677Z
12,335,71,111,68,2707386,21,2023-01-15T02:32:08.236077Z
13,80,75,28,79,2707386,21,2023-01-15T02:32:08.230413Z
14,145,77,279,81,2707386,14,2022-10-29T02:10:43.111597Z
15,369,53,7,64,2707386,13,2022-10-22T05:02:33.649061Z
16,28,80,210,67,2707386,13,2022-10-22T05:02:33.648799Z
17,279,81,54,43,2707386,13,2022-10-22T05:02:33.648564Z
18,111,68,283,128,2707386,13,2022-10-22T05:02:33.648339Z
19,13,79,160,72,2707386,13,2022-10-22T05:02:33.648087Z
20,314,84,89,54,2707386,13,2022-10-22T05:02:33.647836Z
21,425,55,307,54,2707386,13,2022-10-22T05:02:33.647596Z
22,357,57,280,64,2707386,13,2022-10-22T05:02:33.647337Z
23,284,67,16,51,2707386,13,2022-10-22T05:02:33.647043Z
24,26,51,520,55,2707386,13,2022-10-22T05:02:33.646732Z
25,280,64,285,73,2707386,11,2022-10-14T16:24:52.445074Z
26,314,81,283,128,2707386,10,2022-10-07T15:02:07.016550Z
27,26,50,16,51,2707386,10,2022-10-07T15:02:07.016177Z
28,28,80,210,67,2707386,10,2022-10-07T15:02:07.015769Z
29,95,59,54,43,2707386,10,2022-10-07T15:02:07.015235Z
30,609,75,160,71,2707386,10,2022-10-07T15:02:07.014820Z
31,261,81,7,64,2707386,10,2022-10-07T15:02:07.014359Z
32,111,67,89,54,2707386,10,2022-10-07T15:02:07.013927Z
33,430,51,520,55,2707386,10,2022-10-07T15:02:07.013454Z
34,147,49,152,45,2707386,10,2022-10-07T15:02:07.012994Z
35,425,55,307,55,2707386,10,2022-10-07T15:02:07.012447Z
36,16,51,280,65,2707386,8,2022-09-16T15:24:10.237621Z
37,307,55,147,50,2707386,7,2022-09-05T16:54:03.368954Z
38,210,67,80,72,2707386,6,2022-08-30T20:43:32.277705Z
39,54,45,168,54,2707386,5,2022-08-28T17:52:14.966517Z
40,80,72,394,59,2707386,5,2022-08-28T17:52:14.960005Z
41,160,70,374,59,2707386,4,2022-08-21T17:28:25.244602Z
42,7,64,261,80,2707386,4,2022-08-21T17:28:25.239776Z
