,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,427,115,318,120,3378315,38,2023-05-28T13:52:35.828102Z
1,319,61,594,69,3378315,38,2023-05-28T13:52:35.819796Z
2,534,51,19,63,3378315,37,2023-05-20T09:35:36.115628Z
3,104,54,107,52,3378315,36,2023-05-13T04:38:26.256128Z
4,40,77,80,75,3378315,34,2023-04-29T08:13:46.898398Z
5,327,50,133,45,3378315,34,2023-04-29T08:10:30.038609Z
6,342,47,332,51,3378315,34,2023-04-29T07:58:41.199187Z
7,83,41,240,42,3378315,34,2023-04-29T07:49:06.114885Z
8,377,45,85,45,3378315,34,2023-04-29T07:49:06.114564Z
9,102,39,254,39,3378315,34,2023-04-29T07:49:06.114254Z
10,594,69,427,114,3378315,34,2023-04-29T07:49:06.113990Z
11,283,130,13,83,3378315,34,2023-04-29T07:49:06.113686Z
12,285,75,16,52,3378315,33,2023-04-25T15:36:47.168443Z
13,285,74,332,51,3378315,32,2023-04-21T17:26:15.602860Z
14,346,43,335,69,3378315,32,2023-04-21T17:26:15.602552Z
15,169,56,107,52,3378315,32,2023-04-21T17:26:15.602258Z
16,548,38,133,46,3378315,32,2023-04-21T17:26:15.601932Z
17,28,82,318,119,3378315,32,2023-04-21T17:26:15.601650Z
18,40,77,80,77,3378315,32,2023-04-21T17:26:15.601363Z
19,283,129,240,42,3378315,32,2023-04-21T17:26:15.601065Z
20,159,52,13,85,3378315,32,2023-04-21T17:26:15.600779Z
21,167,44,85,45,3378315,32,2023-04-21T17:26:15.600483Z
22,39,46,586,46,3378315,32,2023-04-21T17:26:15.600169Z
23,281,54,254,39,3378315,32,2023-04-21T17:26:15.599907Z
24,13,86,261,81,3378315,31,2023-04-15T07:11:19.703102Z
25,107,52,7,68,3378315,29,2023-04-01T04:29:46.083742Z
26,7,69,346,43,3378315,28,2023-03-17T18:29:08.432406Z
27,261,82,283,127,3378315,28,2023-03-17T18:23:56.575576Z
28,85,45,199,43,3378315,27,2023-03-11T06:17:15.773285Z
29,80,77,11,68,3378315,26,2023-03-04T07:23:04.206407Z
30,283,127,301,123,3378315,25,2023-02-24T17:33:10.119483Z
31,199,44,197,39,3378315,25,2023-02-24T17:33:10.114885Z
32,346,44,369,56,3378315,24,2023-02-18T06:58:11.157970Z
33,11,68,356,71,3378315,23,2023-02-11T08:12:23.100696Z
34,586,45,33,46,3378315,21,2023-01-21T06:09:53.868835Z
35,427,116,297,89,3378315,20,2023-01-13T17:58:24.374755Z
36,332,51,306,71,3378315,20,2023-01-13T17:58:24.372594Z
37,33,46,146,57,3378315,19,2023-01-02T15:18:39.171616Z
38,301,126,314,83,3378315,17,2022-12-26T07:59:43.904781Z
39,240,44,446,80,3378315,17,2022-12-26T07:59:43.899018Z
40,197,40,417,44,3378315,17,2022-12-26T07:46:07.414047Z
41,133,45,113,45,3378315,17,2022-12-26T07:31:40.625076Z
42,417,44,295,40,3378315,17,2022-12-26T07:28:23.032992Z
43,16,52,430,52,3378315,17,2022-12-26T07:28:23.028578Z
44,314,83,261,81,3378315,17,2022-12-26T07:23:25.660735Z
45,146,58,167,43,3378315,17,2022-12-26T06:58:33.296368Z
46,369,58,104,56,3378315,17,2022-12-26T06:58:33.295366Z
47,335,67,160,73,3378315,17,2022-12-26T06:58:33.287771Z
48,446,80,465,80,3378315,16,2022-11-12T06:59:55.918808Z
49,297,89,210,69,3378315,15,2022-11-05T07:21:36.735629Z
50,356,74,80,74,3378315,15,2022-10-31T01:24:38.074607Z
51,167,43,146,60,3378315,12,2022-10-18T00:55:34.242724Z
52,465,82,293,80,3378315,11,2022-10-14T16:35:21.251924Z
53,430,52,285,73,3378315,11,2022-10-14T16:35:21.248094Z
54,146,60,26,48,3378315,9,2022-10-01T09:57:51.967968Z
55,80,73,594,70,3378315,9,2022-10-01T09:57:51.967705Z
56,261,80,311,70,3378315,9,2022-10-01T09:57:51.967476Z
57,285,74,430,50,3378315,9,2022-10-01T09:57:51.967233Z
58,254,40,548,39,3378315,9,2022-10-01T09:57:51.966898Z
59,210,69,28,80,3378315,9,2022-10-01T00:57:19.704699Z
60,160,72,428,117,3378315,9,2022-10-01T00:57:19.704465Z
61,311,70,346,46,3378315,9,2022-10-01T00:57:19.704223Z
62,548,39,254,40,3378315,9,2022-10-01T00:57:19.703915Z
63,26,48,285,74,3378315,9,2022-09-19T00:14:43.040197Z
64,430,50,10,45,3378315,9,2022-09-19T00:14:43.039905Z
65,594,70,54,43,3378315,8,2022-09-16T17:17:58.824472Z
66,346,46,246,55,3378315,8,2022-09-16T17:17:58.823924Z
67,10,45,299,50,3378315,8,2022-09-16T17:17:58.820462Z
68,428,117,283,129,3378315,7,2022-09-10T05:07:18.545312Z
69,254,40,548,39,3378315,6,2022-09-03T08:17:54.894006Z
70,318,117,427,114,3378315,5,2022-08-28T00:26:44.152771Z
71,293,80,303,78,3378315,4,2022-08-27T08:40:56.981876Z
72,104,57,45,49,3378315,3,2022-08-20T05:03:40.466897Z
