event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,67,67,1941176,2010625,1941175,5,1000,0,0,3
2,40,107,7598696,7605040,5119658,5,1000,1,0,11
3,62,169,992633,1002132,3248351,10,999,1,0,11
4,84,253,764080,772652,1262461,10,1001,0,0,4
5,59,312,6106101,6113716,2167628,5,1002,2,0,7
6,57,369,1373078,1386779,1446843,8,1005,1,0,9
7,0,369,6582907,7156102,1432556,11,1005,1,0,0
8,43,412,7319040,7327212,2033370,5,1005,1,0,0
9,89,501,1215893,1226561,1404928,10,1007,1,0,9
10,58,559,5701410,5715835,1664984,12,1009,1,0,8
11,55,614,1980764,1999648,1308490,61,1011,1,0,13
12,55,661,1256496,1263454,1211094,20,1010,3,8,9
13,57,718,3466465,3501638,1192510,20,1010,0,0,19
14,58,776,5747903,5777382,1427801,20,1014,0,0,20
15,51,827,6085177,6109368,1618631,4,1013,0,0,18
16,36,863,7924483,7947499,1950710,0,1018,1,0,17
17,82,945,3219524,3223355,1942173,12,1009,7,0,6
18,53,998,3896027,3930467,1960822,11,1012,1,0,9
19,40,1038,8149273,8179987,2391355,11,1013,0,0,9
20,83,1117,565526,569286,2010858,5,1012,3,4,10
21,86,1203,545835,560394,1698873,5,1016,0,0,3
22,99,1302,263395,269782,1043454,27,1015,2,0,11
23,76,1378,3294637,3320241,1075733,5,1016,1,0,11
24,57,1435,1563855,1596069,987040,5,1020,0,0,6
25,68,1499,7366780,7369413,1309301,15,1016,3,4,2
26,79,1578,271184,275616,760648,15,1016,0,0,11
27,78,1652,2840573,2843921,885038,24,1014,3,4,24
28,54,1706,1336061,1351991,792444,24,1014,0,0,17
29,99,1797,2326055,2328743,927300,57,1009,3,8,0
30,55,1852,5601670,5640594,957256,57,1010,0,0,3
31,74,1926,761626,772181,806156,57,1009,0,0,0
32,49,1967,4224647,4225843,961358,32,1001,4,8,0
33,28,1995,10885861,10886681,1318925,32,997,1,0,6
34,103,2098,1696414,1708143,1239910,32,993,0,0,13
35,35,2133,7176839,7236305,1278356,9,986,0,0,2
36,107,2240,694067,695912,1078670,9,989,0,0,7
37,79,2319,366286,372841,932576,23,991,2,0,7
38,34,2353,7516268,7528447,1017210,37,991,1,0,0
