,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,169,57,305,71,2218410,38,2023-05-27T15:33:12.434525Z
1,285,77,139,56,2218410,37,2023-05-20T00:13:13.196667Z
2,333,95,283,130,2218410,37,2023-05-20T00:13:13.189500Z
3,237,40,80,75,2218410,35,2023-05-05T23:02:00.395018Z
4,356,70,40,75,2218410,35,2023-05-05T23:02:00.394556Z
5,318,124,28,81,2218410,35,2023-05-05T23:02:00.394134Z
6,116,55,261,79,2218410,35,2023-05-05T23:02:00.393723Z
7,124,56,107,52,2218410,35,2023-05-05T23:02:00.393313Z
8,305,73,88,48,2218410,35,2023-05-05T23:02:00.393064Z
9,335,72,7,65,2218410,35,2023-05-05T23:02:00.392751Z
10,139,57,586,48,2218410,35,2023-05-05T23:02:00.392337Z
11,558,38,295,38,2218410,35,2023-05-05T23:02:00.391954Z
12,302,56,16,52,2218410,35,2023-05-05T23:02:00.391430Z
13,376,54,281,54,2218410,35,2023-05-05T23:02:00.390975Z
14,102,40,133,45,2218410,35,2023-05-05T23:02:00.390421Z
15,586,48,526,48,2218410,33,2023-04-25T15:54:13.641274Z
16,281,54,254,39,2218410,32,2023-04-21T15:26:20.995843Z
17,261,81,335,69,2218410,32,2023-04-21T15:26:20.995493Z
18,283,129,333,95,2218410,32,2023-04-21T15:26:20.994988Z
19,28,82,318,118,2218410,32,2023-04-21T15:26:20.988715Z
20,40,75,297,87,2218410,29,2023-03-31T21:38:17.081010Z
21,333,96,283,127,2218410,29,2023-03-31T21:38:17.080645Z
22,332,52,199,42,2218410,29,2023-03-31T21:38:17.073645Z
23,40,74,318,118,2218410,28,2023-03-17T17:44:33.144164Z
24,427,118,297,87,2218410,28,2023-03-17T17:44:33.143828Z
25,428,116,335,70,2218410,28,2023-03-17T17:44:33.143566Z
26,365,41,283,127,2218410,28,2023-03-17T17:44:33.143293Z
27,261,82,107,51,2218410,28,2023-03-17T17:44:33.143043Z
28,13,85,88,48,2218410,28,2023-03-17T17:44:33.142740Z
29,39,43,526,48,2218410,28,2023-03-17T17:44:33.142492Z
30,139,59,199,43,2218410,28,2023-03-17T17:44:33.142180Z
31,548,38,254,40,2218410,28,2023-03-17T17:44:33.141705Z
32,107,51,346,44,2218410,27,2023-03-10T21:43:45.350464Z
33,80,78,11,67,2218410,27,2023-03-10T21:43:45.349896Z
34,88,48,303,75,2218410,27,2023-03-10T21:43:45.345532Z
35,297,87,427,117,2218410,25,2023-02-23T23:15:19.137049Z
36,283,127,333,98,2218410,25,2023-02-23T23:15:19.136498Z
37,199,43,332,52,2218410,25,2023-02-23T23:15:19.132308Z
38,303,78,369,56,2218410,23,2023-02-11T03:06:25.140703Z
39,11,67,345,65,2218410,22,2023-02-02T21:30:58.078563Z
40,333,99,301,123,2218410,22,2023-02-02T21:30:58.072878Z
41,526,46,306,72,2218410,20,2023-01-13T03:40:47.118646Z
42,427,116,297,89,2218410,20,2023-01-13T03:40:47.118063Z
43,332,51,258,46,2218410,20,2023-01-13T03:40:47.112942Z
44,357,59,146,58,2218410,18,2022-12-28T19:23:10.240908Z
45,345,67,356,74,2218410,17,2022-12-26T04:02:46.336296Z
46,297,90,28,80,2218410,17,2022-12-26T04:02:46.335913Z
47,335,67,111,70,2218410,17,2022-12-26T04:02:46.335550Z
48,7,64,13,79,2218410,17,2022-12-26T04:02:46.335191Z
49,146,58,357,55,2218410,17,2022-12-26T04:02:46.334748Z
50,16,52,26,52,2218410,17,2022-12-26T04:02:46.334318Z
51,133,45,113,45,2218410,17,2022-12-26T04:02:46.330604Z
52,26,52,342,48,2218410,16,2022-11-06T16:16:15.942261Z
53,28,80,210,68,2218410,15,2022-11-02T21:48:26.875432Z
54,356,75,80,72,2218410,15,2022-11-02T21:48:26.875052Z
55,369,56,104,56,2218410,15,2022-11-02T21:48:26.874539Z
56,258,46,526,45,2218410,15,2022-11-02T21:48:26.874021Z
57,342,48,366,48,2218410,15,2022-11-02T21:48:26.873310Z
58,366,48,16,50,2218410,12,2022-10-16T16:14:22.625389Z
59,210,67,237,43,2218410,12,2022-10-16T16:14:22.624914Z
60,111,69,3,50,2218410,12,2022-10-16T16:14:22.620974Z
61,13,78,283,127,2218410,11,2022-10-10T04:07:37.668992Z
62,306,72,285,74,2218410,10,2022-10-02T19:28:17.726724Z
63,104,60,7,65,2218410,9,2022-09-19T23:18:56.333141Z
64,7,65,104,59,2218410,8,2022-09-16T15:35:32.406683Z
65,357,52,448,55,2218410,7,2022-09-07T21:05:53.547658Z
66,3,50,486,53,2218410,6,2022-08-30T19:30:35.258822Z
67,104,58,148,57,2218410,5,2022-08-28T17:02:19.450722Z
68,301,122,428,118,2218410,5,2022-08-28T17:02:19.446595Z
69,526,45,43,50,2218410,3,2022-08-15T21:19:55.454270Z
70,254,40,426,40,2218410,2,2022-08-11T19:58:57.771624Z
