event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,61,61,3248597,3252556,3248595,0,1000,0,0,6
2,67,128,2363158,2365555,2158110,0,1002,1,0,5
3,54,182,2668761,2669432,1634573,0,1004,0,0,7
4,65,247,4153295,4154122,1763142,3,1005,2,0,5
5,87,334,384688,385507,835344,3,1007,0,0,4
6,56,390,1609882,1610249,461537,0,1009,2,0,13
7,0,390,1,46497,450043,0,1010,0,0,0
8,59,449,2625736,2626504,371371,32,1012,2,0,7
9,84,533,1907978,1908918,336858,0,1012,0,0,2
10,62,595,4357590,4358351,449864,0,1016,0,0,7
11,53,648,2636148,2637103,357879,27,1016,2,0,8
12,52,700,1825390,1826162,283806,17,1019,1,0,0
13,58,758,3316657,3318336,277068,2,1021,1,0,11
14,52,810,7440815,7441590,503738,2,1027,0,0,1
15,66,876,1595900,1596714,374480,6,1020,2,0,0
16,45,921,4661843,4663907,404418,7,1018,1,0,13
17,91,1012,1278473,1278706,346017,5,1015,12,0,7
18,69,1081,265956,266140,198112,5,1019,0,0,8
19,47,1128,6106658,6107924,305934,16,1019,1,0,6
20,86,1210,368980,369319,205431,5,1018,3,4,18
21,80,1290,1653165,1654951,190020,5,1023,0,0,4
22,100,1390,228755,230229,96259,13,1024,2,0,6
23,75,1465,3428887,3429703,113001,13,1025,0,0,22
24,55,1520,2172031,2173197,110337,9,1029,1,0,14
25,57,1577,9119578,9119768,277267,9,1025,0,0,2
26,48,1625,3928550,3928887,269088,10,1024,2,0,17
27,84,1709,1897307,1897735,298287,54,1022,1,0,15
28,72,1781,87309,87600,171242,44,1016,0,0,0
29,134,1915,220637,220935,107371,43,1017,1,0,0
30,44,1959,9326735,9327159,155863,40,1018,1,0,7
31,57,2016,5099046,5099858,179711,50,1017,1,0,5
32,70,2086,459636,462374,146972,50,1015,0,0,12
33,45,2131,8538651,8538978,210579,0,1013,1,0,21
34,112,2239,921300,921831,207635,2,1014,2,4,12
35,38,2277,5688063,5690499,204867,2,1012,0,0,5
36,88,2365,1735475,1736297,245464,3,1014,2,0,0
37,81,2446,233303,233615,194284,3,1017,0,0,3
38,51,2497,2648487,2649533,179891,15,1013,2,0,9
