,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,534,52,124,57,91452,38,2023-05-28T13:57:06.324796Z
1,427,115,318,122,91452,38,2023-05-28T13:57:06.317687Z
2,319,60,40,74,91452,36,2023-05-12T23:43:27.239391Z
3,333,94,13,81,91452,36,2023-05-12T23:43:27.232030Z
4,342,47,139,58,91452,34,2023-04-29T01:08:32.074245Z
5,307,54,729,45,91452,34,2023-04-29T01:08:32.068345Z
6,283,130,261,80,91452,33,2023-04-25T16:49:12.795262Z
7,258,43,526,51,91452,32,2023-04-21T13:18:20.617925Z
8,526,51,377,45,91452,32,2023-04-21T01:26:11.725650Z
9,170,44,167,44,91452,32,2023-04-20T18:09:52.704640Z
10,175,44,281,54,91452,32,2023-04-20T18:09:52.704451Z
11,66,55,594,66,91452,32,2023-04-20T18:09:52.704242Z
12,680,76,171,55,91452,32,2023-04-20T18:09:52.703988Z
13,167,44,586,48,91452,32,2023-04-15T22:11:23.242509Z
14,548,38,729,45,91452,32,2023-04-15T22:11:23.242132Z
15,281,54,133,46,91452,32,2023-04-15T22:11:23.241756Z
16,285,73,139,59,91452,32,2023-04-15T22:11:23.241399Z
17,694,44,576,44,91452,32,2023-04-15T22:11:23.241117Z
18,283,128,116,54,91452,32,2023-04-15T22:11:23.240888Z
19,19,68,335,69,91452,32,2023-04-15T22:11:23.240640Z
20,171,55,261,81,91452,32,2023-04-15T22:11:23.240438Z
21,169,54,124,57,91452,32,2023-04-15T22:11:23.240222Z
22,28,81,318,121,91452,32,2023-04-15T22:11:23.239954Z
23,124,57,264,67,91452,31,2023-04-14T22:53:52.774545Z
24,318,120,427,117,91452,30,2023-04-08T00:18:07.507078Z
25,264,67,7,66,91452,29,2023-04-01T02:44:25.367665Z
26,576,44,92,44,91452,28,2023-03-17T18:28:52.960105Z
27,377,45,10,46,91452,28,2023-03-17T18:28:52.959895Z
28,729,45,254,40,91452,28,2023-03-17T18:28:52.959620Z
29,586,48,199,43,91452,28,2023-03-17T18:10:05.616538Z
30,139,59,308,50,91452,28,2023-03-17T18:10:05.616350Z
31,261,82,107,51,91452,28,2023-03-17T18:10:05.616145Z
32,13,85,301,120,91452,28,2023-03-17T18:10:05.615955Z
33,40,74,318,121,91452,28,2023-03-17T18:10:05.615764Z
34,427,118,80,75,91452,28,2023-03-17T18:10:05.615564Z
35,594,66,11,66,91452,28,2023-03-17T18:10:05.615304Z
36,116,54,333,98,91452,27,2023-03-10T22:56:18.958150Z
37,107,51,346,44,91452,26,2023-03-04T06:13:40.165412Z
38,92,44,332,52,91452,26,2023-03-04T06:13:40.161178Z
39,199,43,558,39,91452,24,2023-02-18T02:49:25.527112Z
40,11,67,427,116,91452,22,2023-02-03T14:37:03.344880Z
41,333,99,369,58,91452,22,2023-02-03T14:37:03.340250Z
42,308,50,33,46,91452,20,2023-01-13T18:23:33.264420Z
43,332,51,306,71,91452,20,2023-01-13T18:08:17.082400Z
44,427,116,297,89,91452,20,2023-01-13T18:08:17.078592Z
45,33,46,146,57,91452,19,2023-01-02T15:42:49.650978Z
46,7,64,261,80,91452,17,2022-12-26T02:27:04.706240Z
47,297,90,237,42,91452,17,2022-12-26T02:27:04.701470Z
48,369,58,160,73,91452,17,2022-12-26T00:31:59.870659Z
49,133,45,152,45,91452,17,2022-12-26T00:10:08.128451Z
50,146,58,284,67,91452,17,2022-12-26T00:09:43.383436Z
51,318,122,345,67,91452,17,2022-12-25T19:45:04.379512Z
52,335,67,314,83,91452,17,2022-12-25T19:44:24.571156Z
53,284,67,108,45,91452,17,2022-11-12T21:57:25.381952Z
54,237,42,427,116,91452,17,2022-11-12T21:57:25.378053Z
55,254,41,548,39,91452,17,2022-11-12T21:55:16.436333Z
56,558,39,295,40,91452,17,2022-11-12T21:55:16.435801Z
57,10,46,545,40,91452,17,2022-11-12T21:55:16.431433Z
58,345,67,210,68,91452,16,2022-11-12T04:09:26.058500Z
59,301,125,283,127,91452,15,2022-11-05T13:21:44.784265Z
60,427,116,318,118,91452,15,2022-11-05T13:21:44.616409Z
61,314,83,111,68,91452,13,2022-10-21T00:08:03.666904Z
62,283,127,428,117,91452,12,2022-10-17T20:02:59.425316Z
63,111,68,293,80,91452,11,2022-10-14T13:40:04.976068Z
64,108,45,146,60,91452,11,2022-10-14T13:16:49.396151Z
65,293,82,19,63,91452,9,2022-10-01T04:28:17.537213Z
66,152,45,81,45,91452,9,2022-10-01T04:13:03.673970Z
67,545,40,167,43,91452,9,2022-10-01T04:13:03.673649Z
68,428,117,283,128,91452,9,2022-10-01T04:13:03.673284Z
69,283,128,301,122,91452,9,2022-10-01T02:41:53.819200Z
70,295,41,197,41,91452,9,2022-09-30T14:07:28.776856Z
71,81,45,152,45,91452,9,2022-09-30T00:18:34.081285Z
72,167,43,586,45,91452,9,2022-09-30T00:18:34.080982Z
73,146,60,448,55,91452,9,2022-09-29T20:08:49.449880Z
74,548,39,254,40,91452,9,2022-09-29T20:07:37.424210Z
75,152,45,15,49,91452,9,2022-09-29T20:07:37.423905Z
76,210,69,594,70,91452,9,2022-09-29T20:06:10.057050Z
77,197,41,430,50,91452,9,2022-09-19T21:22:01.172623Z
78,160,72,45,47,91452,9,2022-09-19T21:22:01.172351Z
79,261,79,233,61,91452,9,2022-09-19T21:22:01.171995Z
80,594,70,28,80,91452,9,2022-09-16T22:15:06.230210Z
81,430,50,285,75,91452,8,2022-09-16T01:16:42.709248Z
82,301,122,283,129,91452,8,2022-09-16T00:03:44.087555Z
83,80,72,54,45,91452,6,2022-09-01T00:08:30.662418Z
84,586,45,284,69,91452,6,2022-08-31T23:26:27.519566Z
85,448,55,197,40,91452,4,2022-08-27T00:10:25.871258Z
86,233,60,303,78,91452,4,2022-08-27T00:10:25.864857Z
87,318,115,427,115,91452,2,2022-08-07T21:11:54.644472Z
