event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,67,67,1941176,2015185,1941175,0,1000,0,0,3
2,67,134,2232956,2273259,1356117,0,1002,0,0,10
3,41,175,7089843,7113179,2434668,0,1005,0,0,8
4,72,243,2586928,2589268,2122936,0,1010,3,4,5
5,86,329,475331,488669,1085032,0,1013,0,0,1
6,37,366,7997459,8014923,1632758,30,1014,2,0,4
7,0,366,1,1270265,1601187,30,1014,0,0,0
8,64,426,1550347,1555565,1243445,33,1014,3,4,0
9,91,517,961297,976884,768243,6,1018,1,0,4
10,73,590,1365609,1388782,577164,14,1021,1,0,4
11,39,629,8156717,8179129,805634,14,1025,1,0,10
12,48,677,2700241,2732768,732971,13,1020,0,0,9
13,51,728,5989347,6016102,888724,7,1024,1,0,25
14,68,796,2882893,2908367,822582,7,1029,0,0,16
15,46,838,7935354,7938605,1265878,27,1031,3,4,9
16,66,904,356849,361631,733153,11,1030,1,0,3
17,76,980,4874076,4877044,936506,0,1026,7,0,4
18,52,1032,4275757,4314347,999200,7,1027,1,0,1
19,60,1092,2163427,2187598,897241,7,1026,0,0,3
20,68,1160,3206770,3228880,921095,7,1025,1,0,3
21,81,1241,1596642,1609696,828995,6,1028,2,0,2
22,76,1313,1722618,1735185,855051,1,1023,2,4,9
23,93,1406,426677,436538,634082,17,1024,1,0,3
24,54,1460,2262143,2299744,616733,17,1027,0,0,3
25,105,1561,656776,659469,420653,4,1024,3,4,0
26,34,1595,8084207,8098307,549869,9,1024,1,0,20
27,107,1702,95105,98631,351098,21,1025,0,0,21
28,56,1758,1136188,1144903,305380,63,1025,1,0,0
29,123,1881,488113,491297,246256,58,1030,1,0,0
30,62,1943,3319815,3342121,225627,14,1030,1,0,10
31,49,1992,7581335,7613745,295342,14,1033,0,0,3
32,60,2052,1725899,1747372,292322,14,1029,0,0,12
33,70,2122,2094835,2105545,249348,41,1025,1,0,5
34,81,2203,5859188,5863970,376179,3,1024,1,0,6
35,33,2232,8460254,8471561,426380,2,1020,2,4,13
36,130,2358,96694,99217,274980,2,1021,2,4,2
37,53,2407,5713269,5723216,355356,4,1021,2,4,21
38,38,2441,6270109,6279365,410087,7,1020,2,4,6
