,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,40,73,594,70,2381881,38,2023-05-26T12:39:44.650042Z
1,428,115,301,121,2381881,38,2023-05-26T12:39:44.639241Z
2,337,41,313,51,2381881,37,2023-05-20T03:29:26.861736Z
3,609,73,19,65,2381881,37,2023-05-20T03:29:26.855006Z
4,594,70,80,73,2381881,36,2023-05-12T20:45:40.060518Z
5,116,55,107,52,2381881,36,2023-05-12T20:45:40.055307Z
6,285,76,139,57,2381881,35,2023-05-05T17:17:19.197341Z
7,356,70,288,88,2381881,35,2023-05-05T17:17:19.190573Z
8,301,121,13,83,2381881,34,2023-04-28T23:41:33.398577Z
9,288,88,427,115,2381881,33,2023-04-25T12:53:17.876114Z
10,31,50,175,44,2381881,32,2023-04-18T16:10:17.659714Z
11,489,38,167,44,2381881,32,2023-04-18T16:10:17.659006Z
12,175,44,31,50,2381881,32,2023-04-18T16:07:39.412139Z
13,694,45,357,57,2381881,32,2023-04-18T16:07:39.411662Z
14,428,116,169,55,2381881,32,2023-04-18T16:07:39.411311Z
15,28,81,427,117,2381881,32,2023-04-18T16:07:39.410945Z
16,465,80,13,84,2381881,32,2023-04-18T16:07:39.410517Z
17,285,73,284,68,2381881,32,2023-04-18T16:04:20.128116Z
18,346,43,47,52,2381881,32,2023-04-18T13:36:08.131978Z
19,47,52,465,80,2381881,32,2023-04-18T13:15:00.816364Z
20,427,117,66,55,2381881,32,2023-04-18T13:15:00.816108Z
21,548,38,729,45,2381881,32,2023-04-18T13:15:00.815844Z
22,31,50,81,47,2381881,32,2023-04-18T13:09:36.549513Z
23,66,55,427,116,2381881,32,2023-04-18T13:09:36.549264Z
24,167,44,526,51,2381881,32,2023-04-18T13:09:36.549071Z
25,40,77,80,77,2381881,32,2023-04-18T13:09:36.548857Z
26,10,49,313,52,2381881,32,2023-04-18T13:09:36.548665Z
27,253,38,139,58,2381881,32,2023-04-18T13:09:36.548403Z
28,284,68,586,47,2381881,32,2023-04-18T13:09:36.548202Z
29,465,80,107,51,2381881,32,2023-04-18T13:09:36.547993Z
30,283,128,124,56,2381881,32,2023-04-18T13:09:36.547682Z
