event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,73,73,897908,899857,897908,5,1000,0,0,7
2,67,140,2232956,2234463,773588,5,1002,0,0,15
3,50,190,4099328,4099788,885515,15,1007,1,0,14
4,76,266,1778229,1778539,516284,13,1010,1,0,7
5,86,352,554476,555023,244261,1,1010,2,0,3
6,42,394,5987031,5987695,345959,13,1015,1,0,6
7,0,394,1,13183,337005,13,1015,0,0,0
8,69,463,796844,796927,131037,0,1017,2,0,0
9,99,562,303253,303358,39858,12,1014,0,0,16
10,57,619,5830599,5830701,114498,12,1021,0,0,6
11,39,658,8225192,8225310,212809,40,1025,2,0,12
12,59,713,625030,625291,144183,47,1022,2,4,9
13,60,773,2648669,2649056,126421,10,1023,1,0,16
14,83,856,477515,477557,46089,17,1026,1,0,7
15,54,910,5200602,5200971,67032,19,1028,1,0,27
16,47,957,3949060,3949617,73181,2,1030,1,0,10
17,86,1043,2253543,2253616,84963,0,1024,10,0,6
18,55,1098,2973466,2974228,88076,0,1026,0,0,3
19,55,1153,3614575,3614800,108663,3,1026,2,0,9
20,84,1233,471212,471413,76664,1,1028,2,4,12
21,78,1311,2220869,2221898,78427,1,1030,0,0,3
22,96,1399,379265,379276,66384,0,1030,4,8,6
23,78,1473,2852035,2852425,82903,4,1032,2,4,22
24,49,1522,3849370,3850070,102728,4,1035,0,0,5
25,65,1587,7943868,7943902,207668,5,1031,2,0,2
26,31,1614,9033558,9033592,359422,20,1029,2,4,20
27,72,1686,3812333,3812395,494913,9,1026,1,0,17
28,66,1752,262655,262775,350145,9,1025,0,0,6
29,85,1833,4726494,4726513,574687,32,1023,2,4,3
30,54,1887,6235021,6235617,607178,38,1021,1,0,2
31,63,1950,3161474,3162253,587685,6,1022,1,0,2
32,62,2008,1506810,1506946,582103,6,1017,2,4,0
33,61,2069,4162670,4163128,574855,7,1014,0,0,17
34,143,2212,15038,15047,329850,7,1021,0,0,0
35,37,2249,6535126,6535755,332731,20,1022,1,0,0
36,96,2345,1188337,1188503,336667,14,1025,2,0,2
37,76,2417,595119,595454,309528,12,1026,2,4,19
38,35,2452,7199242,7199365,356950,2,1027,1,0,2
