event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,67,67,1941176,1969128,1941175,5,1000,0,0,6
2,88,155,136583,137478,100811,5,1001,0,0,0
3,37,192,8196731,8201531,738410,3,1005,1,0,10
4,76,268,1701243,1707114,434187,3,1007,0,0,5
5,75,343,2257713,2264810,472486,3,1010,0,0,2
6,46,389,4221723,4231229,478087,3,1013,0,0,2
7,0,389,8480729,8603652,473604,0,1011,2,0,0
8,57,446,2953679,2969555,433518,0,1012,0,0,0
9,59,505,7466050,7470955,1201260,0,1012,0,0,8
10,72,577,1507439,1516132,935884,0,1013,0,0,1
11,56,633,1598618,1604828,673905,0,1012,0,0,10
12,39,672,5443549,5452126,850563,0,1010,0,0,0
13,65,737,1240482,1246972,647135,0,1011,0,0,2
14,51,788,7857772,7863537,1030253,0,1015,1,0,6
15,37,825,9588032,9590692,1673719,0,1015,0,0,6
16,29,854,9560289,9565241,2265444,0,1015,0,0,6
17,69,923,6560398,6565766,2678350,0,1016,0,0,3
18,63,986,1044217,1046246,2334118,5,1019,2,0,3
19,44,1030,6881259,6892219,2630689,5,1019,0,0,7
20,52,1082,7540948,7547047,3042565,5,1021,0,0,18
21,82,1164,1193889,1204136,2772776,5,1021,0,0,0
22,20,1184,10401409,10404604,3719299,5,1021,0,0,3
23,84,1268,1476177,1482169,3454749,5,1019,0,0,4
24,40,1308,7174807,7184977,3598498,5,1020,0,0,2
25,64,1372,7968393,7974000,3874069,5,1016,0,0,13
26,46,1418,4210460,4221122,3790801,5,1016,0,0,1
27,46,1464,8612418,8616731,4208535,5,1014,0,0,7
28,48,1512,2274057,2279727,3964646,5,1011,0,0,0
29,87,1599,4339981,4342357,3917797,13,1009,2,0,3
30,61,1660,3427405,3438506,3863581,13,1012,0,0,4
31,67,1727,1937414,1944183,3675517,13,1015,0,0,1
32,68,1795,639264,645396,3364783,13,1015,0,0,2
33,65,1860,3084385,3096143,3277111,13,1016,0,0,3
34,74,1934,7303206,7310733,3438817,13,1016,0,0,3
35,32,1966,8506408,8522528,3545701,13,1011,0,0,10
36,57,2023,6922191,6930570,3725954,13,1008,0,0,2
37,36,2059,9703092,9707483,3983212,13,1005,0,0,2
38,44,2103,4163200,4172313,3936370,13,1003,0,0,0
