event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,73,73,897908,905678,897908,0,1000,0,0,5
2,81,154,403369,403842,117993,0,1001,0,0,4
3,58,212,1735529,1736479,57176,8,1005,1,0,14
4,38,250,9205896,9206011,1513162,24,1010,2,0,8
5,56,306,6561982,6562751,2587020,24,1012,0,0,9
6,37,343,7997459,7999077,3244662,15,1011,2,0,3
7,0,343,1,83312,3194093,15,1009,0,0,0
8,55,394,3777384,3778254,3236480,5,1009,3,4,0
9,82,476,2325957,2327541,2730846,5,1011,0,0,4
10,82,558,219828,220309,1709717,9,1011,1,0,8
11,39,597,8225192,8226220,2040159,2,1012,2,0,11
12,46,643,3269408,3270894,1881296,2,1017,0,0,10
13,59,702,2780343,2781847,1754999,2,1015,0,0,9
14,76,778,1316165,1317253,1356129,1,1019,1,0,10
15,57,835,4200626,4202933,1356630,15,1021,2,0,9
16,35,870,8242518,8244599,1710142,17,1023,1,0,8
17,88,958,1764784,1764983,1528938,6,1022,4,0,0
18,56,1014,2638105,2642448,1469808,6,1022,0,0,14
19,51,1065,4770839,4773287,1571284,2,1020,1,0,4
20,61,1122,5411256,5411602,1865846,8,1019,3,4,15
21,75,1197,3409044,3411725,1856772,4,1020,1,0,4
22,66,1263,2855363,2855940,1840549,29,1020,1,0,4
23,62,1325,6996476,6997250,2165126,14,1018,1,0,10
24,63,1388,658986,660669,1881170,14,1019,0,0,6
25,99,1487,1120917,1121649,1525311,29,1011,0,0,6
26,30,1517,9071198,9072332,1769657,29,1013,0,0,9
27,81,1598,2311771,2312678,1712482,22,1013,1,0,20
28,48,1646,2350750,2353430,1629517,10,1014,1,0,0
29,99,1745,2301146,2301756,1589727,17,1013,2,0,7
30,53,1798,6341441,6343418,1655412,17,1013,0,0,2
31,60,1858,3885194,3886654,1627439,17,1014,0,0,1
32,54,1912,3045020,3046126,1625058,15,1012,2,0,1
33,66,1978,3024436,3025846,1531478,18,1008,1,0,21
34,107,2085,1290102,1290950,1381382,18,1006,0,0,5
35,44,2129,3122675,3125770,1319837,18,1003,0,0,13
36,86,2215,1914897,1916026,1319909,45,999,2,0,15
37,64,2279,2580064,2581460,1292361,2,1002,1,0,9
38,61,2340,995404,996069,1130791,4,1003,1,0,0
