,element_in,element_in_cost,element_out,element_out_cost,entry,event,time
0,261,78,13,80,166353,38,2023-05-27T11:58:32.584235Z
1,333,95,480,52,166353,37,2023-05-19T10:33:40.931944Z
2,373,47,335,69,166353,36,2023-05-13T02:32:35.323591Z
3,594,69,40,74,166353,36,2023-05-07T21:16:04.951358Z
4,586,48,16,51,166353,33,2023-04-25T10:37:19.736562Z
5,290,48,109,46,166353,32,2023-04-20T11:15:48.613564Z
6,281,54,307,54,166353,32,2023-04-20T11:15:48.607349Z
7,124,55,369,55,166353,29,2023-03-31T23:30:23.985989Z
8,258,44,430,51,166353,29,2023-03-31T23:30:23.979916Z
9,369,55,346,43,166353,28,2023-03-17T15:37:44.987921Z
10,109,46,558,39,166353,27,2023-03-11T02:28:55.186079Z
11,40,72,80,75,166353,25,2023-02-24T03:43:01.622069Z
12,480,54,333,98,166353,25,2023-02-24T03:40:12.848369Z
13,13,84,19,62,166353,25,2023-02-24T03:40:12.847968Z
14,430,51,610,50,166353,25,2023-02-24T03:40:12.847580Z
15,526,50,165,45,166353,25,2023-02-24T03:40:12.847193Z
16,307,54,327,49,166353,25,2023-02-24T03:40:12.846775Z
17,426,39,254,40,166353,25,2023-02-24T03:40:12.846344Z
18,7,70,169,55,166353,23,2023-02-08T22:19:35.605773Z
19,333,99,301,124,166353,22,2023-02-03T12:42:34.400564Z
20,80,75,210,71,166353,21,2023-01-19T13:51:04.344035Z
21,427,116,297,89,166353,20,2023-01-12T22:47:36.412387Z
22,169,56,111,68,166353,20,2023-01-12T22:47:36.411957Z
23,610,50,306,71,166353,20,2023-01-12T22:47:36.408078Z
24,210,71,345,67,166353,19,2023-01-01T19:32:56.323951Z
25,297,90,394,56,166353,17,2022-12-24T19:08:32.179251Z
26,345,67,28,80,166353,17,2022-12-24T19:08:32.178094Z
27,558,39,430,51,166353,17,2022-12-24T19:08:32.177107Z
28,254,41,426,39,166353,17,2022-12-24T19:08:32.166650Z
29,165,45,342,47,166353,16,2022-11-09T15:56:22.458521Z
30,335,66,160,74,166353,15,2022-11-02T17:29:49.780931Z
31,327,49,425,55,166353,15,2022-11-02T17:29:49.776327Z
32,342,47,109,46,166353,14,2022-10-29T00:22:05.486938Z
33,54,43,80,73,166353,12,2022-10-17T18:20:59.338345Z
34,428,118,160,74,166353,12,2022-10-17T18:20:59.337847Z
35,165,45,430,51,166353,12,2022-10-17T18:20:59.337291Z
36,57,44,280,64,166353,12,2022-10-17T18:20:59.336791Z
37,286,45,109,45,166353,12,2022-10-17T18:20:59.336242Z
38,80,73,394,58,166353,12,2022-10-17T01:09:58.097964Z
39,427,114,318,120,166353,12,2022-10-17T01:09:58.097751Z
40,210,67,28,80,166353,12,2022-10-17T01:09:58.097524Z
41,142,76,301,124,166353,12,2022-10-17T01:09:58.097299Z
42,283,127,19,63,166353,12,2022-10-17T01:09:58.097056Z
43,280,64,306,71,166353,12,2022-10-17T01:09:58.096807Z
44,366,48,16,50,166353,12,2022-10-17T01:09:58.096551Z
45,176,40,426,39,166353,12,2022-10-17T01:09:58.096300Z
46,376,53,425,55,166353,12,2022-10-17T01:09:58.095980Z
47,160,74,293,80,166353,11,2022-10-11T18:04:25.934285Z
48,111,68,195,55,166353,11,2022-10-11T18:04:25.930287Z
49,301,124,283,128,166353,10,2022-10-05T11:46:49.216137Z
50,394,59,237,44,166353,8,2022-09-16T16:03:06.826972Z
51,195,55,225,63,166353,8,2022-09-16T15:58:14.232722Z
52,357,53,299,50,166353,8,2022-09-16T15:56:38.552783Z
53,318,119,80,71,166353,6,2022-09-03T02:53:41.331655Z
54,293,82,301,121,166353,6,2022-09-03T02:53:41.327483Z
55,225,63,45,49,166353,4,2022-08-23T17:40:17.495864Z
56,109,45,285,75,166353,4,2022-08-23T17:40:17.490494Z
57,80,71,145,79,166353,3,2022-08-18T22:30:56.163577Z
