id,first_name,second_name
3,Granit,Xhaka
4,Mohamed,Elneny
5,Rob,Holding
6,Thomas,Partey
7,Martin,Ødegaard
8,Kieran,Tierney
9,Nicolas,Pépé
10,Benjamin,White
11,Eddie,Nketiah
12,Emile,Smith Rowe
13,Bukayo,Saka
14,Takehiro,Tomiyasu
15,Aaron,Ramsdale
16,Gabriel,dos Santos Magalhães
17,Nuno,Varela Tavares
19,Gabriel,Martinelli Silva
20,Pablo,Marí Villar
22,Lucas,Torreira di Pascua
23,Reiss,Nelson
24,Matt,Turner
25,Fábio,Ferreira Vieira
26,William,Saliba
27,Marcus,Oliveira Alencar
28,Gabriel,Fernando de Jesus
111,Leandro,Trossard
130,Jorge Luiz,Frello Filho
313,Oleksandr,Zinchenko
607,Matthew,Smith
630,Ethan,Nwaneri
631,Lino,Sousa
655,Karl,Hein
668,Amario,Cozier-Duberry
685,Nathan,Butler-Oyedeji
710,Jakub,Kiwior
751,Reuell,Walters
767,Mauro,Bandeira
29,Philippe,Coutinho Correia
31,Emiliano,Martínez Romero
32,Calum,Chambers
33,Lucas,Digne
34,Bertrand,Traoré
35,Robin,Olsen
36,Morgan,Sanson
37,John,McGinn
38,Kortney,Hause
39,Tyrone,Mings
40,Ollie,Watkins
41,Marvelous,Nakamba
42,Emiliano,Buendía Stati
43,Matty,Cash
44,Ezri,Konsa Ngoyo
45,Leon,Bailey
46,Douglas Luiz,Soares de Paulo
47,Jacob,Ramsey
49,Tim,Iroegbunam
50,Diego Carlos,Santos Silva
51,Anwar,El Ghazi
52,Keinan,Davis
53,Boubacar,Kamara
54,Cameron,Archer
55,Jaden,Philogene-Bidace
56,Frédéric,Guilbert
479,Leander,Dendoncker
525,Ludwig,Augustinsson
537,Kaine,Kesler Hayden
538,Ashley,Young
638,Lamare,Bogarde
670,Filip,Marschall
672,Kadan,Young
694,Alexandre,Moreno Lopera
707,Viljami,Sinisalo
711,Jhon,Durán
744,Sil,Swinkels
745,Oliwier,Zych
753,James,Wright
754,Sebastian,Revan
755,Travis,Patterson
761,Tommi,O'Reilly
57,Adam,Smith
58,Junior,Stanislas
59,Ryan,Fredericks
60,David,Brooks
61,Jamal,Lowe
62,Kieffer,Moore
63,Emiliano,Marcondes
64,Jefferson,Lerma Solís
65,Jack,Stacey
66,Dominic,Solanke
67,Lewis,Cook
68,Ben,Pearson
69,Ryan,Christie
70,Philip,Billing
71,Chris,Mepham
72,Mark,Travers
73,Lloyd,Kelly
74,Siriki,Dembélé
75,Jaidon,Anthony
76,Jordan,Zemura
77,Will,Dennis
404,Jack,Stephens
505,Joe,Rothwell
535,Marcus,Tavernier
539,James,Hill
571,Darren,Randolph
574,Norberto,Murara Neto
576,Marcos,Senesi
597,Christian,Saydee
598,Owen,Bevan
649,Cameron,Plain
695,Daniel,Adu-Adjei
696,Michael,Dacosta Gonzalez
697,Dominic,Sadi
705,Dango,Ouattara
706,Euan,Pollock
714,Antoine,Semenyo
718,Matías,Viña
722,Illia,Zabarnyi
723,Hamed,Traorè
737,Ben,Greenwood
738,Max,Kinsey-Wellings
78,Pontus,Jansson
79,Christian,Nørgaard
80,Ivan,Toney
81,David,Raya Martin
82,Sergi,Canós Tenés
83,Josh,Dasilva
84,Kristoffer,Ajer
85,Rico,Henry
86,Vitaly,Janelt
87,Saman,Ghoddos
88,Mathias,Jensen
89,Yoane,Wissa
90,Mads,Roerslev Rasmussen
91,Mads,Bech Sørensen
92,Ethan,Pinnock
93,Frank,Onyeka
94,Shandon,Baptiste
95,Bryan,Mbeumo
96,Charlie,Goode
97,Marcus,Forss
98,Dominic,Thompson
99,Mads,Bidstrup
100,Ellery,Balcombe
510,Aaron,Hickey
515,Keane,Lewis-Potter
517,Thomas,Strakosha
526,Ben,Mee
540,Fin,Stevens
541,Halil,Dervişoğlu
580,Mikkel,Damsgaard
595,Mathias,Jorgensen
632,Ryan,Trevitt
633,Matthew,Cox
646,Tristan,Crama
650,Yegor,Yarmolyuk
688,Kevin,Schade
752,Michael,Olakigbe
101,Adam,Lallana
102,Jason,Steele
103,Danny,Welbeck
104,Pascal,Groß
106,Lewis,Dunk
107,Solly,March
108,Adam,Webster
109,Joël,Veltman
113,Robert,Sánchez
114,Tariq,Lamptey
115,Steven,Alzate
116,Alexis,Mac Allister
117,Jakub,Moder
118,Enock,Mwepu
119,Jeremy,Sarmiento Morante
120,Moisés,Caicedo Corozo
121,Taylor,Richards
122,Haydon,Roberts
123,Deniz,Undav
124,Kaoru,Mitoma
125,Julio,Enciso
126,Kacper,Kozłowski
149,Billy,Gilmour
542,Kjell,Scherpen
543,Matt,Clarke
544,Jan Paul,van Hecke
559,Levi,Colwill
586,Pervis,Estupiñán
596,Evan,Ferguson
640,Ed,Turns
651,Andrew,Moran
652,James,Furlong
677,Jack,Hinshelwood
679,Facundo,Buonanotte
719,Yasin,Ayari
736,Odeluga,Offiah
756,Tom,McGill
762,Cameron,Peupion
765,Imari,Samuels
48,Carney,Chukwuemeka
112,Marc,Cucurella Saseta
127,César,Azpilicueta
128,Thiago,Emiliano da Silva
129,Marcos,Alonso
131,Ross,Barkley
132,Mateo,Kovacic
133,Kepa,Arrizabalaga
134,N'Golo,Kanté
135,Hakim,Ziyech
136,Ruben,Loftus-Cheek
137,Timo,Werner
138,Robert Kenedy,Nunes do Nascimento
139,Ben,Chilwell
140,Christian,Pulisic
141,Trevoh,Chalobah
142,Mason,Mount
143,Malang,Sarr
144,Callum,Hudson-Odoi
145,Kai,Havertz
146,Reece,James
147,Edouard,Mendy
148,Conor,Gallagher
150,Armando,Broja
151,Ethan,Ampadu
272,Wesley,Fofana
304,Raheem,Sterling
520,Kalidou,Koulibaly
606,Harvey,Vale
616,Denis,Zakaria
617,Pierre-Emerick,Aubameyang
635,Marcus,Bettinelli
653,Omari,Hutchinson
661,Lewis,Hall
673,Bashir,Humphreys
684,David Datro,Fofana
689,Benoît,Badiashile
690,João,Félix Sequeira
699,Mykhailo,Mudryk
702,Andrey,Nascimento dos Santos
708,Noni,Madueke
724,Enzo,Fernández
771,Ethan,Wady
775,Alfie,Gilchrist
18,Albert,Sambi Lokonga
152,Vicente,Guaita
153,James,Tomkins
154,James,McArthur
155,Christian,Benteke
156,Joel,Ward
157,Nathaniel,Clyne
158,Luka,Milivojevic
159,Jordan,Ayew
160,Wilfried,Zaha
161,Jeffrey,Schlupp
163,Will,Hughes
164,Jairo,Riedewald
165,Joachim,Andersen
166,Odsonne,Edouard
167,Marc,Guéhi
168,Jean-Philippe,Mateta
169,Eberechi,Eze
170,Tyrick,Mitchell
171,Michael,Olise
172,Jesurun,Rak-Sakyi
173,Malcolm,Ebiowei
174,Nathan,Ferguson
175,Sam,Johnstone
495,Remi,Matthews
496,Luke,Plange
514,Cheick,Doucouré
530,Chris,Richards
590,Joseph,Whitworth
601,Kaden,Rodney
604,Killian,Phillips
634,John-Kymani,Gordon
642,Kofi,Balmer
644,Owen,Goodman
654,Jack,Wells-Morrison
676,David,Ozoh
725,Naouirou,Ahamada
766,Tayo,Adaramola
110,Neal,Maupay
176,Asmir,Begović
177,Salomón,Rondón
178,Seamus,Coleman
179,Andros,Townsend
180,Michael,Keane
181,Dele,Alli
182,Jordan,Pickford
183,Allan,Marques Loureiro
184,André,Tavares Gomes
185,Abdoulaye,Doucouré
186,Alex,Iwobi
187,Jean-Philippe,Gbamin
188,Yerry,Mina
189,Demarai,Gray
190,Tom,Davies
191,Dominic,Calvert-Lewin
192,Mason,Holgate
193,Ben,Godfrey
194,Vitalii,Mykolenko
196,Jarrad,Branthwaite
197,Nathan,Patterson
198,Niels,Nkounkou
199,James,Tarkowski
475,Conor,Coady
531,Rúben,Nascimento Vinagre
534,Dwight,McNeil
560,Stanley,Mills
561,Lewis,Warrington
570,James,Garner
577,Amadou,Onana
605,Reece,Welch
611,Idrissa,Gueye
627,Eldin,Jakupovic
637,Kyle,John
662,Thomas,Cannon
678,Isaac,Price
686,Ellis,Simms
757,Ishé,Samuels-Smith
760,Andy,Lonergan
768,Sean,McAllister
1,Cédric,Alves Soares
2,Bernd,Leno
105,Shane,Duffy
200,Tom,Cairney
201,Tim,Ream
202,Anthony,Knockaert
203,Nathaniel,Chalobah
204,Neeskens,Kebano
205,Bobby,De Cordova-Reid
206,Joe,Bryan
207,Paulo,Gazzaniga Farias
208,Terence,Kongolo
209,Tosin,Adarabioyo
210,Aleksandar,Mitrović
211,Harrison,Reed
212,Harry,Wilson
213,Marek,Rodák
214,Ivan,Neves Abreu Cavaleiro
215,Kenny,Tete
216,Josh,Onomah
217,Antonee,Robinson
218,Rodrigo,Muniz Carvalho
219,Jay,Stansfield
220,João,Palhinha Gonçalves
231,Daniel,James
346,Andreas,Hoelgebaum Pereira
470,Issa,Diop
521,Tyrese,Francois
532,Kevin,Mbabu
546,Luke,Harris
562,Manor,Solomon
591,Terry,Ablade
613,Layvin,Kurzawa
614,Willian,Borges da Silva
618,Carlos Vinícius,Alves Morais
636,Stefan,Parkes
641,Martial,Godo
667,Kristian,Sekularac
726,Sasa,Lukic
747,George,Wickens
750,Charlie,Robinson
763,Matthew,Dibley-Dias
248,Kasper,Schmeichel
249,Jonny,Evans
250,Ryan,Bertrand
251,Marc,Albrighton
252,Nampalys,Mendy
253,Jannik,Vestergaard
254,Danny,Ward
255,Jamie,Vardy
256,Ricardo,Barbosa Pereira
257,Daniel,Amartey
258,Timothy,Castagne
259,Youri,Tielemans
260,Ayoze,Pérez
261,James,Maddison
262,Kelechi,Iheanacho
263,Hamza,Choudhury
264,Harvey,Barnes
265,Wilfred,Ndidi
266,Kiernan,Dewsbury-Hall
267,Çaglar,Söyüncü
268,James,Justin
269,Boubakary,Soumaré
270,Luke,Thomas
271,Patson,Daka
273,Lewis,Brunt
548,Daniel,Iversen
549,Dennis,Praet
581,Alex,Smithies
612,Wout,Faes
639,Sammy,Braybrooke
645,Joe,Wormleighton
687,Kasey,McAteer
709,Victor,Kristiansen
715,Mateus,Cardoso Lemos Martins
727,Harry,Souttar
735,Wanya,Marçal-Madivadua
221,Liam,Cooper
222,Luke,Ayling
223,Mateusz,Klich
224,Adam,Forshaw
225,Rodrigo,Moreno
226,Stuart,Dallas
227,Patrick,Bamford
228,Diego,Llorente
229,Tyler,Roberts
230,Robin,Koch
232,Raphael,Dias Belloli
233,Jack,Harrison
234,Jamie,Shackleton
235,Pascal,Struijk
236,Kristoffer,Klaesson
237,Sam,Greenwood
238,Illan,Meslier
239,Junior,Firpo Adames
240,Crysencio,Summerville
241,Lewis,Bate
242,Joe,Gelhardt
243,Leo Fuhr,Hjelde
244,Rasmus,Kristensen
245,Marc,Roca Junqué
246,Brenden,Aaronson
247,Darko,Gyabi
506,Tyler,Adams
508,Luis,Sinisterra Lucumí
547,Cody,Drameh
565,Archie,Gray
578,Joel,Robles
619,Wilfried,Gnonto
